"","Time","Boston","","Score","","Milwaukee"
"160","7:28.0","Turnover by J. Tatum (bad pass; steal by J. Holiday)","","31-31","",""
"161","7:23.0","","","31-33","+2","G. Antetokounmpo makes 2-pt dunk from 2 ft (assist by J. Holiday)"
"162","7:05.0","J. Tatum misses 3-pt jump shot from 27 ft","","31-33","",""
"163","7:00.0","","","31-33","","Defensive rebound by B. Portis"
"164","6:52.0","","","31-33","","B. Portis misses 3-pt jump shot from 26 ft"
"165","6:48.0","Defensive rebound by J. Tatum","","31-33","",""
"166","6:41.0","A. Horford makes 3-pt jump shot from 26 ft (assist by P. Pritchard)","+3","34-33","",""
"167","6:35.0","","","34-33","","Milwaukee full timeout"
"168","6:35.0","M. Smart enters the game for P. Pritchard","","34-33","",""
"169","6:35.0","","","34-33","","G. Hill enters the game for J. Holiday"
"170","6:35.0","","","34-33","","W. Matthews enters the game for B. Portis"
"171","6:18.0","","","34-33","","Personal foul by A. Horford (drawn by G. Hill)"
"172","6:11.0","","","34-33","","G. Antetokounmpo misses 2-pt jump shot from 18 ft"
"173","6:08.0","Defensive rebound by A. Horford","","34-33","",""
"174","5:55.0","D. White makes 2-pt layup from 1 ft (assist by M. Smart)","+2","36-33","",""
"175","5:36.0","","","36-35","+2","G. Antetokounmpo makes 2-pt hook shot from 12 ft"
"176","5:16.0","D. White misses 3-pt jump shot from 23 ft","","36-35","",""
"177","5:12.0","","","36-35","","Defensive rebound by G. Antetokounmpo"
"178","5:07.0","","","36-38","+3","G. Hill makes 3-pt jump shot from 24 ft (assist by G. Antetokounmpo)"
"179","4:45.0","M. Smart makes 2-pt layup from 2 ft","+2","38-38","",""
"180","4:26.0","","","38-38","","P. Connaughton misses 2-pt layup from 4 ft"
"181","4:24.0","Defensive rebound by A. Horford","","38-38","",""
"182","4:13.0","J. Brown misses 2-pt jump shot from 21 ft","","38-38","",""
"183","4:10.0","","","38-38","","Defensive rebound by G. Antetokounmpo"
"184","4:05.0","","","38-38","","G. Antetokounmpo misses 2-pt layup from 4 ft"
"185","4:03.0","Defensive rebound by D. White","","38-38","",""
"186","3:58.0","J. Tatum misses 3-pt jump shot from 25 ft","","38-38","",""
"187","3:56.0","","","38-38","","Defensive rebound by G. Antetokounmpo"
"188","3:54.0","","","38-38","","Shooting foul by M. Smart (drawn by G. Antetokounmpo)"
"189","3:54.0","","","38-38","","Violation by Team (delay of game)"
"190","3:54.0","","","38-39","+1","G. Antetokounmpo makes free throw 1 of 2"
"191","3:54.0","D. Theis enters the game for A. Horford","","38-39","",""
"192","3:54.0","G. Williams enters the game for D. White","","38-39","",""
"193","3:54.0","","","38-39","","J. Holiday enters the game for G. Allen"
"194","3:54.0","","","38-39","","B. Lopez enters the game for G. Hill"
"195","3:54.0","","","38-39","","G. Antetokounmpo misses free throw 2 of 2"
"196","3:51.0","","","38-39","","Offensive rebound by B. Lopez"
"197","3:47.0","","","38-39","","G. Antetokounmpo misses 2-pt layup from 2 ft"
"198","3:47.0","","","38-39","","Offensive rebound by B. Lopez"
"199","3:47.0","","","38-39","","Shooting foul by D. Theis (drawn by B. Lopez)"
"200","3:47.0","","","38-39","","B. Lopez misses free throw 1 of 2"
"201","3:47.0","","","38-39","","Offensive rebound by Team"
"202","3:47.0","","","38-39","","B. Portis enters the game for G. Antetokounmpo"
"203","3:47.0","","","38-40","+1","B. Lopez makes free throw 2 of 2"
"204","3:31.0","M. Smart makes 3-pt jump shot from 25 ft (assist by D. Theis)","+3","41-40","",""
"205","3:15.0","","","41-40","","J. Holiday misses 2-pt jump shot from 15 ft"
"206","3:13.0","Defensive rebound by J. Tatum","","41-40","",""
"207","3:00.0","Shooting foul by B. Lopez (drawn by J. Tatum)","","41-40","",""
"208","3:00.0","J. Tatum makes free throw 1 of 2","+1","42-40","",""
"209","3:00.0","J. Tatum makes free throw 2 of 2","+1","43-40","",""
"210","2:45.0","","","43-40","","B. Lopez misses 2-pt hook shot from 5 ft (block by M. Smart)"
"211","2:42.0","","","43-40","","Offensive rebound by B. Portis"
"212","2:40.0","","","43-40","","B. Lopez misses 2-pt layup from 1 ft"
"213","2:38.0","Defensive rebound by Team","","43-40","",""
"214","2:38.0","Boston full timeout","","43-40","",""
"215","2:38.0","","","43-40","","G. Antetokounmpo enters the game for B. Portis"
"216","2:38.0","Jump ball: G. Williams vs. B. Lopez (M. Smart gains possession)","Jump ball: G. Williams vs. B. Lopez (M. Smart gains possession)","Jump ball: G. Williams vs. B. Lopez (M. Smart gains possession)","Jump ball: G. Williams vs. B. Lopez (M. Smart gains possession)","Jump ball: G. Williams vs. B. Lopez (M. Smart gains possession)"
"217","2:20.0","J. Tatum misses 3-pt jump shot from 27 ft","","43-40","",""
"218","2:17.0","","","43-40","","Defensive rebound by P. Connaughton"
"219","2:06.0","","","43-40","","J. Holiday misses 3-pt jump shot from 26 ft"
"220","2:03.0","Defensive rebound by J. Tatum","","43-40","",""
"221","2:00.0","J. Tatum misses 3-pt jump shot from 27 ft","","43-40","",""
"222","1:55.0","","","43-40","","Defensive rebound by G. Antetokounmpo"
"223","1:40.0","","","43-40","","G. Antetokounmpo misses 2-pt hook shot from 6 ft"
"224","1:38.0","Defensive rebound by J. Brown","","43-40","",""
"225","1:23.0","Turnover by M. Smart (bad pass; steal by P. Connaughton)","","43-40","",""
"226","1:19.0","","","43-42","+2","P. Connaughton makes 2-pt dunk from 2 ft"
"227","1:08.0","Personal foul by J. Holiday (drawn by J. Brown)","","43-42","",""
"228","1:08.0","J. Brown makes free throw 1 of 2","+1","44-42","",""
"229","1:08.0","","","44-42","","G. Hill enters the game for J. Holiday"
"230","1:08.0","J. Brown makes free throw 2 of 2","+1","45-42","",""
"231","0:58.0","","","45-45","+3","P. Connaughton makes 3-pt jump shot from 22 ft (assist by G. Antetokounmpo)"
"232","0:40.0","G. Williams misses 3-pt jump shot from 26 ft","","45-45","",""
"233","0:37.0","","","45-45","","Defensive rebound by P. Connaughton"
"234","0:21.0","","","45-45","","Shooting foul by J. Brown (drawn by W. Matthews)"
"235","0:21.0","","","45-46","+1","W. Matthews makes free throw 1 of 3"
"236","0:21.0","","","45-47","+1","W. Matthews makes free throw 2 of 3"
"237","0:21.0","A. Horford enters the game for D. Theis","","45-47","",""
"238","0:21.0","","","45-48","+1","W. Matthews makes free throw 3 of 3"
