"","Time","Golden State","","Score","","Dallas"
"323","1:05.0","K. Looney makes 2-pt layup from 2 ft (assist by S. Curry)","+2","75-64","",""
"324","0:57.0","","","75-64","","D. Bertans misses 3-pt jump shot from 25 ft"
"325","0:54.0","Defensive rebound by J. Poole","","75-64","",""
"326","0:37.0","S. Curry makes 3-pt jump shot from 28 ft","+3","78-64","",""
"327","0:29.0","","","78-66","+2","J. Brunson makes 2-pt jump shot from 3 ft"
"328","0:09.0","S. Curry misses 3-pt jump shot from 35 ft","","78-66","",""
"329","0:05.0","","","78-66","","Defensive rebound by R. Bullock"
"330","0:00.0","","","78-66","","Shooting foul by K. Looney (drawn by S. Dinwiddie)"
"331","0:00.0","","","78-67","+1","S. Dinwiddie makes free throw 1 of 2"
"332","0:00.0","J. Toscano-Anderson enters the game for M. Moody","","78-67","",""
"333","0:00.0","","","78-68","+1","S. Dinwiddie makes free throw 2 of 2"
"334","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"335","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"336","Time","Golden State","","Score","","Dallas"
"337","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"338","11:46.0","","","78-70","+2","L. Doncic makes 2-pt layup from 1 ft"
"339","11:20.0","Shooting foul by R. Bullock (drawn by A. Wiggins)","","78-70","",""
"340","11:20.0","Instant Replay (Request: Ruling Stands)","","78-70","",""
"341","11:20.0","A. Wiggins makes free throw 1 of 2","+1","79-70","",""
"342","11:20.0","","","79-70","","M. Kleber enters the game for R. Bullock"
"343","11:20.0","A. Wiggins misses free throw 2 of 2","","79-70","",""
"344","11:15.0","Offensive rebound by M. Moody","","79-70","",""
"345","11:14.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by M. Moody)","+3","82-70","",""
"346","10:50.0","","","82-72","+2","J. Brunson makes 2-pt layup from 4 ft"
"347","10:42.0","Shooting foul by J. Brunson (drawn by M. Moody)","","82-72","",""
"348","10:42.0","M. Moody makes free throw 1 of 2","+1","83-72","",""
"349","10:42.0","","","83-72","","D. Bertans enters the game for J. Brunson"
"350","10:42.0","M. Moody misses free throw 2 of 2","","83-72","",""
"351","10:40.0","","","83-72","","Defensive rebound by Team"
"352","10:40.0","Loose ball foul by K. Looney (drawn by M. Kleber)","","83-72","",""
"353","10:27.0","","","83-72","","Turnover by M. Kleber (step out of bounds)"
"354","10:12.0","A. Wiggins misses 3-pt jump shot from 27 ft","","83-72","",""
"355","10:09.0","","","83-72","","Defensive rebound by D. Bertans"
"356","10:03.0","","","83-72","","Shooting foul by K. Looney (drawn by L. Doncic)"
