"","Time","Dallas","","Score","","Utah"
"218","10:47.0","D. Powell misses 2-pt dunk from 3 ft","","43-53","",""
"219","10:44.0","","","43-53","","Defensive rebound by R. O'Neale"
"220","10:32.0","Loose ball foul by D. Powell (drawn by R. Gobert)","","43-53","",""
"221","10:17.0","","","43-53","","D. Mitchell misses 3-pt jump shot from 27 ft"
"222","10:15.0","Defensive rebound by L. Doncic","","43-53","",""
"223","10:09.0","L. Doncic misses 3-pt jump shot from 26 ft","","43-53","",""
"224","10:06.0","","","43-53","","Defensive rebound by B. Bogdanovic"
"225","9:59.0","","","43-53","","B. Bogdanovic misses 2-pt jump shot from 11 ft"
"226","9:57.0","Defensive rebound by L. Doncic","","43-53","",""
"227","9:51.0","J. Brunson misses 2-pt jump shot from 9 ft","","43-53","",""
"228","9:47.0","","","43-53","","Defensive rebound by D. Mitchell"
"229","9:41.0","","","43-55","+2","M. Conley makes 2-pt layup from 3 ft (assist by D. Mitchell)"
"230","9:24.0","Shooting foul by B. Bogdanovic (drawn by J. Brunson)","","43-55","",""
"231","9:24.0","J. Brunson makes free throw 1 of 2","+1","44-55","",""
"232","9:24.0","J. Brunson makes free throw 2 of 2","+1","45-55","",""
"233","9:16.0","","","45-55","","Shooting foul by L. Doncic (drawn by M. Conley)"
"234","9:16.0","","","45-56","+1","M. Conley makes free throw 1 of 2"
"235","9:16.0","S. Dinwiddie enters the game for D. Powell","","45-56","",""
"236","9:16.0","","","45-57","+1","M. Conley makes free throw 2 of 2"
"237","8:52.0","L. Doncic makes 2-pt layup from 7 ft (assist by D. Finney-Smith)","+2","47-57","",""
"238","8:44.0","","","47-57","","D. Mitchell misses 2-pt layup from 3 ft"
"239","8:42.0","Defensive rebound by R. Bullock","","47-57","",""
"240","8:25.0","R. Bullock makes 3-pt jump shot from 26 ft (assist by S. Dinwiddie)","+3","50-57","",""
"241","8:07.0","","","50-57","","R. Gobert misses 2-pt layup from 4 ft"
"242","8:05.0","Defensive rebound by L. Doncic","","50-57","",""
"243","8:05.0","Personal take foul by M. Conley (drawn by L. Doncic)","","50-57","",""
"244","7:50.0","S. Dinwiddie makes 3-pt jump shot from 26 ft (assist by D. Finney-Smith)","+3","53-57","",""
"245","7:49.0","","","53-57","","Utah full timeout"
"246","7:27.0","","","53-60","+3","D. Mitchell makes 3-pt jump shot from 27 ft"
"247","7:13.0","J. Brunson makes 3-pt jump shot from 25 ft (assist by L. Doncic)","+3","56-60","",""
"248","6:58.0","","","56-62","+2","R. O'Neale makes 2-pt layup from 2 ft (assist by D. Mitchell)"
"249","6:38.0","Offensive foul by S. Dinwiddie (drawn by D. Mitchell)","","56-62","",""
"250","6:38.0","Turnover by S. Dinwiddie (offensive foul)","","56-62","",""
"251","6:23.0","","","56-62","","Personal foul by L. Doncic (drawn by M. Conley)"
"252","6:16.0","","","56-62","","Turnover by D. Mitchell (lost ball; steal by L. Doncic)"
"253","6:16.0","Personal take foul by R. O'Neale (drawn by L. Doncic)","","56-62","",""
"254","6:16.0","","","56-62","","J. Clarkson enters the game for M. Conley"
"255","5:58.0","J. Brunson makes 2-pt jump shot from 11 ft","+2","58-62","",""
"256","5:48.0","","","58-62","","Offensive foul by B. Bogdanovic (drawn by J. Brunson)"
"257","5:48.0","","","58-62","","Turnover by B. Bogdanovic (offensive foul)"
"258","5:48.0","","","58-62","","D. House enters the game for R. O'Neale"
"259","5:33.0","L. Doncic makes 3-pt jump shot from 27 ft (assist by R. Bullock)","+3","61-62","",""
"260","5:22.0","","","61-65","+3","B. Bogdanovic makes 3-pt jump shot from 28 ft (assist by D. Mitchell)"
"261","5:09.0","L. Doncic makes 3-pt jump shot from 25 ft","+3","64-65","",""
"262","4:59.0","","","64-68","+3","B. Bogdanovic makes 3-pt jump shot from 25 ft (assist by D. Mitchell)"
"263","4:35.0","L. Doncic misses 3-pt jump shot from 28 ft","","64-68","",""
"264","4:33.0","","","64-68","","Defensive rebound by R. Gobert"
"265","4:20.0","","","64-68","","D. House misses 2-pt layup from 4 ft"
"266","4:18.0","Defensive rebound by L. Doncic","","64-68","",""
"267","4:12.0","S. Dinwiddie misses 3-pt jump shot from 26 ft","","64-68","",""
"268","4:10.0","","","64-68","","Defensive rebound by D. Mitchell"
"269","4:01.0","","","64-68","","Shooting foul by D. Finney-Smith (drawn by R. Gobert)"
"270","4:01.0","","","64-69","+1","R. Gobert makes free throw 1 of 2"
"271","4:01.0","M. Kleber enters the game for J. Brunson","","64-69","",""
"272","4:01.0","","","64-70","+1","R. Gobert makes free throw 2 of 2"
"273","3:44.0","R. Bullock makes 3-pt jump shot from 22 ft (assist by M. Kleber)","+3","67-70","",""
"274","3:26.0","","","67-70","","B. Bogdanovic misses 2-pt layup from 6 ft"
"275","3:22.0","Defensive rebound by D. Finney-Smith","","67-70","",""
"276","2:59.0","M. Kleber makes 2-pt jump shot from 20 ft (assist by R. Bullock)","+2","69-70","",""
"277","2:46.0","","","69-70","","Offensive foul by B. Bogdanovic (drawn by D. Finney-Smith)"
"278","2:46.0","","","69-70","","Turnover by B. Bogdanovic (offensive foul)"
"279","2:46.0","Dallas full timeout","","69-70","",""
"280","2:46.0","","","69-70","","M. Conley enters the game for B. Bogdanovic"
"281","2:46.0","","","69-70","","J. Hernangómez enters the game for D. Mitchell"
"282","2:28.0","S. Dinwiddie makes 3-pt jump shot from 23 ft (assist by M. Kleber)","+3","72-70","",""
"283","2:02.0","","","72-70","","J. Hernangómez misses 3-pt jump shot from 25 ft"
"284","1:59.0","Defensive rebound by L. Doncic","","72-70","",""
"285","1:48.0","M. Kleber misses 3-pt jump shot from 26 ft","","72-70","",""
"286","1:46.0","","","72-70","","Defensive rebound by J. Hernangómez"
"287","1:39.0","","","72-72","+2","M. Conley makes 2-pt jump shot from 12 ft"
"288","1:23.0","D. Finney-Smith makes 3-pt jump shot from 25 ft (assist by M. Kleber)","+3","75-72","",""
"289","0:58.0","","","75-72","","J. Clarkson misses 3-pt jump shot from 25 ft"
"290","0:55.0","Defensive rebound by R. Bullock","","75-72","",""
"291","0:38.0","L. Doncic misses 2-pt jump shot from 12 ft","","75-72","",""
"292","0:35.0","","","75-72","","Defensive rebound by R. Gobert"
"293","0:28.0","","","75-72","","J. Clarkson misses 2-pt layup from 3 ft"
"294","0:26.0","Defensive rebound by D. Finney-Smith","","75-72","",""
"295","0:19.0","S. Dinwiddie makes 2-pt layup from 4 ft (assist by D. Finney-Smith)","+2","77-72","",""
"296","0:05.0","","","77-72","","D. House misses 3-pt jump shot from 25 ft"
"297","0:01.0","","","77-72","","Offensive rebound by J. Clarkson"
"298","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"299","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"300","Time","Dallas","","Score","","Utah"
"301","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"302","11:43.0","","","77-72","","J. Clarkson misses 2-pt jump shot from 8 ft"
"303","11:40.0","Defensive rebound by L. Doncic","","77-72","",""
"304","11:23.0","M. Kleber makes 3-pt jump shot from 26 ft (assist by L. Doncic)","+3","80-72","",""
"305","11:10.0","","","80-72","","Personal foul by S. Dinwiddie (drawn by H. Whiteside)"
"306","11:10.0","","","80-72","","D. Mitchell enters the game for J. Hernangómez"
"307","11:10.0","","","80-72","","R. O'Neale enters the game for D. House"
"308","11:04.0","","","80-72","","M. Conley misses 3-pt jump shot from 25 ft"
"309","11:00.0","","","80-72","","Offensive rebound by R. O'Neale"
