"","Time","New Orleans","","Score","","Phoenix"
"216","0:00.0","L. Nance misses 3-pt jump shot from 68 ft","","56-61","",""
"217","0:00.0","Offensive rebound by Team","","56-61","",""
"218","0:00.0","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter","End of 2nd quarter"
"219","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"220","Time","New Orleans","","Score","","Phoenix"
"221","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"222","11:39.0","Shooting foul by D. Booker (drawn by J. Hayes)","","56-61","",""
"223","11:39.0","J. Hayes makes free throw 1 of 2","+1","57-61","",""
"224","11:39.0","J. Hayes misses free throw 2 of 2","","57-61","",""
"225","11:36.0","","","57-61","","Defensive rebound by J. Crowder"
"226","11:19.0","","","57-63","+2","D. Ayton makes 2-pt jump shot from 16 ft (assist by C. Paul)"
"227","10:57.0","J. Valanciunas makes 2-pt jump shot from 11 ft (assist by H. Jones)","+2","59-63","",""
"228","10:44.0","","","59-63","","C. Paul misses 2-pt jump shot from 12 ft"
"229","10:41.0","Defensive rebound by J. Valanciunas","","59-63","",""
"230","10:33.0","B. Ingram misses 2-pt jump shot from 5 ft (block by J. Crowder)","","59-63","",""
"231","10:30.0","","","59-63","","Defensive rebound by J. Crowder"
"232","10:23.0","","","59-63","","Shooting foul by J. Valanciunas (drawn by D. Ayton)"
"233","10:23.0","","","59-64","+1","D. Ayton makes free throw 1 of 2"
"234","10:23.0","","","59-65","+1","D. Ayton makes free throw 2 of 2"
"235","10:08.0","B. Ingram makes 2-pt jump shot from 13 ft (assist by J. Valanciunas)","+2","61-65","",""
"236","10:08.0","Shooting foul by C. Paul (drawn by B. Ingram)","","61-65","",""
"237","10:08.0","B. Ingram makes free throw 1 of 1","+1","62-65","",""
"238","9:55.0","","","62-65","","D. Booker misses 3-pt jump shot from 26 ft"
"239","9:52.0","","","62-65","","Offensive rebound by D. Ayton"
"240","9:49.0","","","62-65","","J. Crowder misses 2-pt layup from 10 ft (block by B. Ingram)"
"241","9:47.0","Defensive rebound by B. Ingram","","62-65","",""
"242","9:43.0","C. McCollum misses 3-pt jump shot from 26 ft","","62-65","",""
"243","9:42.0","Offensive rebound by J. Hayes","","62-65","",""
"244","9:42.0","Personal foul by C. Paul (drawn by J. Hayes)","","62-65","",""
"245","9:37.0","Turnover by J. Valanciunas (off goaltending)","","62-65","",""
"246","9:27.0","","","62-67","+2","C. Paul makes 2-pt jump shot from 13 ft"
"247","9:18.0","H. Jones makes 2-pt layup from 2 ft (assist by C. McCollum)","+2","64-67","",""
"248","9:06.0","","","64-67","","C. Paul misses 2-pt jump shot from 13 ft"
"249","9:04.0","Defensive rebound by J. Valanciunas","","64-67","",""
"250","8:58.0","B. Ingram makes 2-pt layup from 1 ft","+2","66-67","",""
"251","8:40.0","","","66-67","","Personal foul by H. Jones (drawn by D. Booker)"
"252","8:29.0","","","66-67","","M. Bridges misses 3-pt jump shot from 26 ft"
"253","8:27.0","Defensive rebound by J. Valanciunas","","66-67","",""
"254","8:08.0","B. Ingram makes 3-pt jump shot from 23 ft (assist by J. Hayes)","+3","69-67","",""
"255","8:06.0","","","69-67","","Phoenix full timeout"
"256","8:06.0","","","69-67","","Turnover by M. Bridges (lost ball; steal by B. Ingram)"
"257","7:52.0","J. Hayes makes 2-pt dunk from 2 ft (assist by B. Ingram)","+2","71-67","",""
"258","7:41.0","","","71-69","+2","C. Paul makes 2-pt jump shot from 17 ft"
"259","7:24.0","J. Hayes misses 2-pt jump shot from 5 ft (block by M. Bridges)","","71-69","",""
"260","7:21.0","","","71-69","","Defensive rebound by D. Ayton"
"261","7:16.0","","","71-69","","M. Bridges misses 2-pt layup from 2 ft (block by J. Hayes)"
"262","7:13.0","","","71-69","","Offensive rebound by D. Ayton"
"263","7:12.0","","","71-69","","J. Crowder misses 3-pt jump shot from 27 ft"
"264","7:08.0","Defensive rebound by J. Valanciunas","","71-69","",""
"265","6:53.0","Turnover by B. Ingram (bad pass; steal by M. Bridges)","","71-69","",""
"266","6:31.0","","","71-69","","Shooting foul by H. Jones (drawn by C. Paul)"
"267","6:31.0","","","71-70","+1","C. Paul makes free throw 1 of 3"
"268","6:31.0","","","71-71","+1","C. Paul makes free throw 2 of 3"
"269","6:31.0","","","71-72","+1","C. Paul makes free throw 3 of 3"
"270","6:17.0","Turnover by C. McCollum (bad pass; steal by C. Paul)","","71-72","",""
"271","6:13.0","","","71-74","+2","M. Bridges makes 2-pt dunk from 1 ft (assist by C. Paul)"
"272","6:02.0","C. McCollum misses 2-pt jump shot from 13 ft","","71-74","",""
"273","5:59.0","","","71-74","","Defensive rebound by D. Ayton"
"274","5:48.0","","","71-74","","J. Crowder misses 2-pt jump shot from 5 ft"
"275","5:46.0","Defensive rebound by B. Ingram","","71-74","",""
"276","5:42.0","H. Jones misses 2-pt layup from 3 ft","","71-74","",""
"277","5:40.0","Offensive rebound by B. Ingram","","71-74","",""
"278","5:37.0","H. Jones makes 2-pt layup from 4 ft (assist by B. Ingram)","+2","73-74","",""
"279","5:20.0","","","73-74","","C. Paul misses 2-pt jump shot from 10 ft"
"280","5:18.0","Defensive rebound by C. McCollum","","73-74","",""
"281","5:14.0","J. Hayes makes 2-pt dunk from 1 ft (assist by B. Ingram)","+2","75-74","",""
"282","4:52.0","","","75-74","","C. Paul misses 3-pt jump shot from 25 ft"
"283","4:49.0","Defensive rebound by C. McCollum","","75-74","",""
"284","4:46.0","J. Hayes makes 2-pt dunk from 1 ft (assist by C. McCollum)","+2","77-74","",""
"285","4:35.0","","","77-74","","Phoenix full timeout"
"286","4:35.0","D. Graham enters the game for C. McCollum","","77-74","",""
"287","4:35.0","T. Murphy enters the game for J. Valanciunas","","77-74","",""
"288","4:35.0","","","77-74","","C. Johnson enters the game for D. Booker"
"289","4:35.0","","","77-74","","C. Payne enters the game for J. Crowder"
"290","4:35.0","","","77-74","","L. Shamet enters the game for C. Paul"
"291","4:16.0","","","77-74","","Turnover by C. Johnson (bad pass; steal by H. Jones)"
"292","4:08.0","Personal foul by M. Bridges (drawn by B. Ingram)","","77-74","",""
"293","4:08.0","N. Marshall enters the game for H. Jones","","77-74","",""
"294","4:08.0","","","77-74","","T. Craig enters the game for M. Bridges"
"295","4:03.0","Offensive foul by J. Hayes (drawn by C. Payne)","","77-74","",""
"296","4:03.0","Turnover by J. Hayes (offensive foul)","","77-74","",""
"297","3:48.0","","","77-74","","Turnover by C. Payne (traveling)"
"298","3:48.0","L. Nance enters the game for J. Hayes","","77-74","",""
"299","3:48.0","","","77-74","","J. McGee enters the game for D. Ayton"
"300","3:30.0","L. Nance makes 2-pt layup from 3 ft (assist by B. Ingram)","+2","79-74","",""
"301","3:15.0","","","79-74","","L. Shamet misses 3-pt jump shot from 25 ft (block by D. Graham)"
"302","3:12.0","Defensive rebound by L. Nance","","79-74","",""
"303","3:10.0","Turnover by L. Nance (bad pass; steal by C. Johnson)","","79-74","",""
"304","3:01.0","","","79-74","","C. Payne misses 2-pt layup from 2 ft"
"305","2:58.0","","","79-74","","Offensive rebound by J. McGee"
"306","2:57.0","","","79-76","+2","J. McGee makes 2-pt layup from 2 ft"
"307","2:39.0","T. Murphy makes 3-pt jump shot from 27 ft (assist by B. Ingram)","+3","82-76","",""
"308","2:18.0","","","82-76","","C. Johnson misses 2-pt layup from 1 ft (block by N. Marshall)"
"309","2:18.0","","","82-76","","Offensive rebound by Team"
"310","2:12.0","","","82-76","","Personal foul by T. Murphy (drawn by C. Johnson)"
"311","2:08.0","","","82-76","","Personal foul by T. Murphy (drawn by J. McGee)"
"312","2:08.0","","","82-77","+1","J. McGee makes free throw 1 of 2"
"313","2:08.0","","","82-78","+1","J. McGee makes free throw 2 of 2"
"314","1:53.0","B. Ingram misses 2-pt jump shot from 6 ft","","82-78","",""
"315","1:52.0","Offensive rebound by Team","","82-78","",""
"316","1:50.0","B. Ingram makes 2-pt jump shot from 15 ft (assist by D. Graham)","+2","84-78","",""
"317","1:30.0","","","84-80","+2","L. Shamet makes 2-pt dunk from 1 ft (assist by T. Craig)"
"318","1:08.0","L. Nance makes 2-pt jump shot from 18 ft","+2","86-80","",""
"319","0:56.0","","","86-80","","Turnover by C. Payne (bad pass; steal by T. Murphy)"
"320","0:51.0","B. Ingram makes 2-pt layup from 1 ft (assist by D. Graham)","+2","88-80","",""
"321","0:35.0","","","88-80","","Shooting foul by L. Nance (drawn by C. Johnson)"
"322","0:35.0","","","88-80","","C. Johnson misses free throw 1 of 2"
"323","0:35.0","","","88-80","","Offensive rebound by Team"
"324","0:35.0","","","88-81","+1","C. Johnson makes free throw 2 of 2"
"325","0:15.0","Shooting foul by J. McGee (drawn by B. Ingram)","","88-81","",""
"326","0:15.0","B. Ingram makes free throw 1 of 2","+1","89-81","",""
"327","0:15.0","J. Hayes enters the game for D. Graham","","89-81","",""
"328","0:15.0","H. Jones enters the game for T. Murphy","","89-81","",""
"329","0:15.0","B. Ingram makes free throw 2 of 2","+1","90-81","",""
"330","0:02.0","","","90-83","+2","C. Payne makes 2-pt layup from 2 ft"
"331","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"332","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"333","Time","New Orleans","","Score","","Phoenix"
"334","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"335","11:46.0","","","90-86","+3","L. Shamet makes 3-pt jump shot from 26 ft (assist by C. Paul)"
"336","11:29.0","C. McCollum misses 3-pt jump shot from 26 ft","","90-86","",""
"337","11:24.0","","","90-86","","Defensive rebound by M. Bridges"
"338","11:16.0","","","90-88","+2","M. Bridges makes 2-pt layup from 2 ft (assist by J. McGee)"
"339","11:04.0","J. Alvarado makes 2-pt jump shot from 5 ft","+2","92-88","",""
"340","10:55.0","","","92-88","","Personal foul by J. Alvarado (drawn by L. Shamet)"
"341","10:39.0","","","92-90","+2","C. Johnson makes 2-pt jump shot from 9 ft"
"342","10:21.0","J. Alvarado makes 3-pt jump shot from 27 ft (assist by L. Nance)","+3","95-90","",""
