"","Time","Boston","","Score","","Milwaukee"
"265","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q","3rd Q"
"266","Time","Boston","","Score","","Milwaukee"
"267","12:00.0","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter","Start of 3rd quarter"
"268","11:46.0","Turnover by J. Brown (bad pass; steal by G. Antetokounmpo)","","50-46","",""
"269","11:42.0","","","50-48","+2","G. Antetokounmpo makes 2-pt layup from 3 ft"
"270","11:24.0","J. Tatum misses 2-pt jump shot from 15 ft","","50-48","",""
"271","11:20.0","","","50-48","","Defensive rebound by B. Lopez"
"272","11:16.0","","","50-48","","G. Antetokounmpo misses 3-pt jump shot from 26 ft"
"273","11:16.0","Defensive rebound by Team","","50-48","",""
"274","11:16.0","","","50-48","","Loose ball foul by B. Lopez (drawn by R. Williams)"
"275","11:01.0","Turnover by M. Smart (bad pass; steal by B. Lopez)","","50-48","",""
"276","10:47.0","","","50-48","","B. Lopez misses 2-pt jump shot from 9 ft"
"277","10:45.0","","","50-48","","Offensive rebound by G. Antetokounmpo"
"278","10:45.0","","","50-48","","Personal foul by R. Williams (drawn by G. Antetokounmpo)"
"279","10:45.0","","","50-48","","B. Portis enters the game for B. Lopez"
"280","10:41.0","","","50-48","","G. Antetokounmpo misses 3-pt jump shot from 26 ft"
"281","10:37.0","Defensive rebound by J. Brown","","50-48","",""
"282","10:28.0","Personal foul by G. Allen (drawn by J. Tatum)","","50-48","",""
"283","10:22.0","J. Brown misses 2-pt layup from 3 ft (block by B. Portis)","","50-48","",""
"284","10:22.0","","","50-48","","P. Connaughton enters the game for G. Allen"
"285","10:22.0","Offensive rebound by Team","","50-48","",""
"286","10:22.0","Jump ball: J. Brown vs. B. Portis (R. Williams gains possession)","Jump ball: J. Brown vs. B. Portis (R. Williams gains possession)","Jump ball: J. Brown vs. B. Portis (R. Williams gains possession)","Jump ball: J. Brown vs. B. Portis (R. Williams gains possession)","Jump ball: J. Brown vs. B. Portis (R. Williams gains possession)"
"287","10:13.0","M. Smart misses 3-pt jump shot from 27 ft","","50-48","",""
"288","10:10.0","","","50-48","","Defensive rebound by G. Antetokounmpo"
"289","10:05.0","","","50-51","+3","J. Holiday makes 3-pt jump shot from 26 ft (assist by G. Antetokounmpo)"
"290","9:48.0","A. Horford misses 2-pt layup from 7 ft (block by G. Antetokounmpo)","","50-51","",""
"291","9:48.0","Offensive rebound by A. Horford","","50-51","",""
"292","9:40.0","A. Horford makes 2-pt layup at rim","+2","52-51","",""
"293","9:39.0","","","52-53","+2","G. Antetokounmpo makes 2-pt layup from 4 ft"
"294","9:39.0","","","52-53","","Shooting foul by A. Horford (drawn by G. Antetokounmpo)"
"295","9:39.0","G. Williams enters the game for A. Horford","","52-53","",""
"296","9:39.0","","","52-54","+1","G. Antetokounmpo makes free throw 1 of 1"
"297","9:26.0","J. Brown makes 2-pt layup from 2 ft","+2","54-54","",""
"298","9:20.0","","","54-54","","Offensive foul by B. Portis (drawn by M. Smart)"
"299","9:20.0","","","54-54","","Turnover by B. Portis (offensive foul)"
"300","9:02.0","J. Tatum misses 2-pt hook shot from 6 ft","","54-54","",""
"301","9:00.0","","","54-54","","Defensive rebound by G. Antetokounmpo"
"302","8:57.0","","","54-54","","W. Matthews misses 2-pt layup from 4 ft (block by J. Tatum)"
"303","8:55.0","","","54-54","","Offensive rebound by W. Matthews"
"304","8:53.0","","","54-54","","W. Matthews misses 2-pt layup from 3 ft (block by J. Tatum)"
"305","8:52.0","","","54-54","","Offensive rebound by W. Matthews"
"306","8:51.0","","","54-54","","Turnover by B. Portis (bad pass; steal by M. Smart)"
"307","8:49.0","Personal take foul by W. Matthews (drawn by M. Smart)","","54-54","",""
"308","8:39.0","Turnover by J. Brown (bad pass; steal by J. Holiday)","","54-54","",""
"309","8:36.0","","","54-54","","Shooting foul by G. Williams (drawn by G. Antetokounmpo)"
"310","8:36.0","","","54-54","","Instant Replay (Request: Stands)"
"311","8:36.0","","","54-55","+1","G. Antetokounmpo makes free throw 1 of 2"
"312","8:36.0","","","54-56","+1","G. Antetokounmpo makes free throw 2 of 2"
"313","8:22.0","Turnover by J. Tatum (bad pass; steal by G. Antetokounmpo)","","54-56","",""
"314","8:15.0","","","54-58","+2","G. Antetokounmpo makes 2-pt layup from 1 ft"
"315","8:13.0","Boston full timeout","","54-58","",""
