Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy,oponent_team
3:56.0,L.Doncic,4,90-90,4.0,2-pt,jump,9,misses,Dallas,2022-08-01 03:56:00,jazz
2:24.0,L.Doncic,4,92-93,4.0,3-pt,jump,26,misses,Dallas,2022-08-01 02:24:00,jazz
1:13.0,L.Doncic,4,96-95,4.0,2-pt,jump,8,makes,Dallas,2022-08-01 01:13:00,jazz
0:39.0,L.Doncic,4,99-95,4.0,3-pt,jump,26,makes,Dallas,2022-08-01 00:39:00,jazz
10:59.0,L.Doncic,5,0-4,1.0,2-pt,jump,5,makes,Dallas,2022-08-01 10:59:00,jazz
8:03.0,L.Doncic,5,4-7,1.0,3-pt,jump,28,misses,Dallas,2022-08-01 08:03:00,jazz
6:53.0,L.Doncic,5,6-10,1.0,2-pt,jump,11,misses,Dallas,2022-08-01 06:53:00,jazz
4:40.0,L.Doncic,5,8-16,1.0,3-pt,jump,25,misses,Dallas,2022-08-01 04:40:00,jazz
11:36.0,L.Doncic,5,18-26,2.0,2-pt,layup,1,makes,Dallas,2022-08-01 11:36:00,jazz
10:10.0,L.Doncic,5,22-28,2.0,2-pt,jump,2,misses,Dallas,2022-08-01 10:10:00,jazz
9:07.0,L.Doncic,5,28-30,2.0,2-pt,jump,5,misses,Dallas,2022-08-01 09:07:00,jazz
4:11.0,L.Doncic,5,32-45,2.0,2-pt,jump,8,makes,Dallas,2022-08-01 04:11:00,jazz
3:38.0,L.Doncic,5,32-45,2.0,3-pt,jump,25,misses,Dallas,2022-08-01 03:38:00,jazz
3:02.0,L.Doncic,5,32-47,2.0,free,throw,1,misses,Dallas,2022-08-01 03:02:00,jazz
3:02.0,L.Doncic,5,32-47,2.0,2-pt,jump,13,makes,Dallas,2022-08-01 03:02:00,jazz
1:16.0,L.Doncic,5,32-49,2.0,2-pt,layup,2,makes,Dallas,2022-08-01 01:16:00,jazz
1:16.0,L.Doncic,5,32-50,2.0,free,throw,1,makes,Dallas,2022-08-01 01:16:00,jazz
0:31.0,L.Doncic,5,34-52,2.0,3-pt,jump,25,misses,Dallas,2022-08-01 00:31:00,jazz
0:00.0,L.Doncic,5,36-52,2.0,3-pt,jump,25,misses,Dallas,2022-08-01 00:00:00,jazz
11:45.0,L.Doncic,5,36-54,3.0,2-pt,layup,2,makes,Dallas,2022-08-01 11:45:00,jazz
10:59.0,L.Doncic,5,39-56,3.0,2-pt,jump,15,makes,Dallas,2022-08-01 10:59:00,jazz
10:16.0,L.Doncic,5,39-58,3.0,2-pt,layup,1,makes,Dallas,2022-08-01 10:16:00,jazz
9:28.0,L.Doncic,5,40-59,3.0,free,throw,2,makes,Dallas,2022-08-01 09:28:00,jazz
9:28.0,L.Doncic,5,40-60,3.0,free,throw,2,makes,Dallas,2022-08-01 09:28:00,jazz
8:00.0,L.Doncic,5,44-63,3.0,3-pt,jump,28,misses,Dallas,2022-08-01 08:00:00,jazz
6:31.0,L.Doncic,5,46-68,3.0,free,throw,2,misses,Dallas,2022-08-01 06:31:00,jazz
6:31.0,L.Doncic,5,46-68,3.0,free,throw,2,misses,Dallas,2022-08-01 06:31:00,jazz
5:40.0,L.Doncic,5,46-71,3.0,3-pt,jump,26,makes,Dallas,2022-08-01 05:40:00,jazz
5:04.0,L.Doncic,5,46-74,3.0,3-pt,jump,28,makes,Dallas,2022-08-01 05:04:00,jazz
4:02.0,L.Doncic,5,46-75,3.0,free,throw,2,makes,Dallas,2022-08-01 04:02:00,jazz
4:02.0,L.Doncic,5,46-76,3.0,free,throw,2,makes,Dallas,2022-08-01 04:02:00,jazz
3:40.0,L.Doncic,5,46-79,3.0,3-pt,jump,29,makes,Dallas,2022-08-01 03:40:00,jazz
3:10.0,L.Doncic,5,46-79,3.0,3-pt,jump,26,misses,Dallas,2022-08-01 03:10:00,jazz
0:31.0,L.Doncic,5,53-81,3.0,2-pt,jump,8,misses,Dallas,2022-08-01 00:31:00,jazz
5:33.0,L.Doncic,5,65-90,4.0,free,throw,2,makes,Dallas,2022-08-01 05:33:00,jazz
5:33.0,L.Doncic,5,65-91,4.0,free,throw,2,makes,Dallas,2022-08-01 05:33:00,jazz
4:41.0,L.Doncic,5,65-93,4.0,free,throw,2,misses,Dallas,2022-08-01 04:41:00,jazz
4:41.0,L.Doncic,5,65-94,4.0,free,throw,2,makes,Dallas,2022-08-01 04:41:00,jazz
7:46.0,L.Doncic,6,8-9,1.0,2-pt,jump,8,makes,Dallas,2022-08-01 07:46:00,jazz
