"","Time","Utah","","Score","","Dallas"
"222","11:02.0","","","47-45","+2","S. Dinwiddie makes 2-pt layup from 2 ft"
"223","10:39.0","B. Bogdanovic misses 3-pt jump shot from 24 ft","","47-45","",""
"224","10:35.0","","","47-45","","Defensive rebound by D. Finney-Smith"
"225","10:14.0","","","47-47","+2","D. Powell makes 2-pt dunk from 2 ft (assist by J. Brunson)"
"226","10:01.0","D. Mitchell makes 2-pt layup from 1 ft","+2","49-47","",""
"227","9:45.0","","","49-49","+2","J. Brunson makes 2-pt jump shot from 9 ft (assist by S. Dinwiddie)"
"228","9:30.0","D. Mitchell misses 2-pt jump shot from 19 ft","","49-49","",""
"229","9:30.0","Offensive rebound by Team","","49-49","",""
"230","9:29.0","","","49-49","","Loose ball foul by J. Brunson (drawn by R. O'Neale)"
"231","9:24.0","M. Conley makes 3-pt jump shot from 25 ft","+3","52-49","",""
"232","9:10.0","","","52-49","","Shooting foul by B. Bogdanovic (drawn by S. Dinwiddie)"
"233","9:10.0","","","52-50","+1","S. Dinwiddie makes free throw 1 of 2"
"234","9:10.0","","","52-51","+1","S. Dinwiddie makes free throw 2 of 2"
"235","8:54.0","Shooting foul by D. Powell (drawn by D. Mitchell)","","52-51","",""
"236","8:54.0","D. Mitchell misses free throw 1 of 2","","52-51","",""
"237","8:54.0","Offensive rebound by Team","","52-51","",""
"238","8:54.0","D. Mitchell makes free throw 2 of 2","+1","53-51","",""
"239","8:37.0","","","53-51","","D. Powell misses 2-pt layup from 4 ft (block by R. Gobert)"
"240","8:35.0","Defensive rebound by R. Gobert","","53-51","",""
"241","8:32.0","Offensive foul by R. Gobert (drawn by S. Dinwiddie)","","53-51","",""
"242","8:32.0","Turnover by R. Gobert (offensive foul)","","53-51","",""
"243","8:22.0","","","53-51","","Personal foul by R. O'Neale (drawn by J. Brunson)"
"244","8:06.0","","","53-51","","D. Powell misses 2-pt layup from 1 ft"
"245","8:02.0","","","53-51","","Offensive rebound by D. Powell"
"246","8:02.0","","","53-51","","D. Powell misses 2-pt layup at rim"
"247","8:02.0","Defensive rebound by R. O'Neale","","53-51","",""
"248","7:57.0","D. Mitchell makes 2-pt layup from 4 ft","+2","55-51","",""
"249","7:57.0","Flagrant foul type 1 by D. Finney-Smith (drawn by D. Mitchell)","","55-51","",""
"250","7:57.0","Instant Replay (Request: Ruling Stands)","","55-51","",""
"251","7:57.0","","","55-51","","M. Kleber enters the game for S. Dinwiddie"
"252","7:57.0","D. Mitchell makes flagrant free throw 1 of 1","+1","56-51","",""
"253","7:43.0","Turnover by B. Bogdanovic (bad pass; steal by R. Bullock)","","56-51","",""
"254","7:29.0","","","56-53","+2","J. Brunson makes 2-pt jump shot from 8 ft"
"255","7:17.0","D. Mitchell misses 3-pt jump shot from 25 ft","","56-53","",""
"256","7:13.0","","","56-53","","Defensive rebound by M. Kleber"
"257","6:54.0","","","56-53","","J. Brunson misses 2-pt jump shot from 18 ft"
"258","6:51.0","Defensive rebound by D. Mitchell","","56-53","",""
"259","6:31.0","D. Mitchell makes 3-pt jump shot from 26 ft","+3","59-53","",""
"260","6:09.0","","","59-53","","Shooting foul by R. O'Neale (drawn by J. Brunson)"
"261","6:09.0","","","59-53","","Dallas full timeout"
"262","6:09.0","J. Clarkson enters the game for M. Conley","","59-53","",""
"263","6:09.0","D. House enters the game for R. Gobert","","59-53","",""
"264","6:09.0","H. Whiteside enters the game for R. O'Neale","","59-53","",""
"265","6:09.0","","","59-53","","J. Green enters the game for D. Powell"
"266","6:09.0","","","59-54","+1","J. Brunson makes free throw 1 of 2"
"267","6:09.0","","","59-55","+1","J. Brunson makes free throw 2 of 2"
"268","5:44.0","D. Mitchell misses 2-pt jump shot from 13 ft","","59-55","",""
"269","5:39.0","Offensive rebound by H. Whiteside","","59-55","",""
"270","5:35.0","Turnover by D. House (lost ball; steal by J. Green)","","59-55","",""
"271","5:22.0","","","59-55","","R. Bullock misses 3-pt jump shot from 26 ft"
"272","5:18.0","Defensive rebound by J. Clarkson","","59-55","",""
"273","5:14.0","D. Mitchell misses 3-pt jump shot from 27 ft","","59-55","",""
"274","5:10.0","","","59-55","","Defensive rebound by R. Bullock"
"275","5:01.0","","","59-55","","J. Green misses 3-pt jump shot from 24 ft"
"276","5:01.0","Defensive rebound by B. Bogdanovic","","59-55","",""
"277","4:53.0","D. Mitchell makes 2-pt layup from 2 ft (assist by B. Bogdanovic)","+2","61-55","",""
"278","4:35.0","","","61-55","","J. Brunson misses 2-pt layup from 2 ft"
"279","4:32.0","Defensive rebound by H. Whiteside","","61-55","",""
"280","4:28.0","Turnover by J. Clarkson (lost ball; steal by J. Green)","","61-55","",""
"281","4:27.0","","","61-55","","Personal take foul by D. Mitchell (drawn by J. Green)"
"282","4:27.0","","","61-55","","S. Dinwiddie enters the game for J. Brunson"
"283","4:10.0","","","61-55","","J. Green misses 3-pt jump shot from 23 ft"
"284","4:10.0","Defensive rebound by H. Whiteside","","61-55","",""
"285","4:05.0","D. Mitchell misses 2-pt layup from 2 ft","","61-55","",""
"286","4:04.0","Offensive rebound by H. Whiteside","","61-55","",""
"287","4:04.0","Shooting foul by M. Kleber (drawn by H. Whiteside)","","61-55","",""
"288","4:04.0","H. Whiteside misses free throw 1 of 2","","61-55","",""
"289","4:04.0","Offensive rebound by Team","","61-55","",""
"290","4:04.0","","","61-55","","D. Bertans enters the game for J. Green"
"291","4:04.0","H. Whiteside makes free throw 2 of 2","+1","62-55","",""
"292","3:41.0","","","62-55","","Turnover by S. Dinwiddie (bad pass; steal by B. Bogdanovic)"
"293","3:36.0","D. Mitchell makes 2-pt dunk from 1 ft (assist by B. Bogdanovic)","+2","64-55","",""
