"","Time","Dallas","","Score","","Golden State"
"242","10:03.0","Offensive rebound by J. Brunson","","47-61","",""
"243","9:57.0","R. Bullock misses 3-pt jump shot from 28 ft","","47-61","",""
"244","9:55.0","","","47-61","","Defensive rebound by K. Thompson"
"245","9:53.0","","","47-61","","A. Wiggins misses 3-pt jump shot from 28 ft"
"246","9:50.0","Defensive rebound by L. Doncic","","47-61","",""
"247","9:43.0","L. Doncic misses 3-pt jump shot from 28 ft","","47-61","",""
"248","9:41.0","","","47-61","","Defensive rebound by S. Curry"
"249","9:30.0","","","47-64","+3","S. Curry makes 3-pt jump shot from 28 ft (assist by D. Green)"
"250","9:29.0","Dallas full timeout","","47-64","",""
"251","9:05.0","J. Brunson misses 2-pt jump shot from 9 ft","","47-64","",""
"252","9:03.0","","","47-64","","Defensive rebound by A. Wiggins"
"253","8:55.0","","","47-64","","Turnover by S. Curry (bad pass; steal by J. Brunson)"
"254","8:51.0","L. Doncic makes 2-pt dunk from 5 ft (assist by J. Brunson)","+2","49-64","",""
"255","8:35.0","","","49-64","","Turnover by D. Green (bad pass; steal by D. Powell)"
"256","8:29.0","Personal foul by A. Wiggins (drawn by D. Powell)","","49-64","",""
"257","8:20.0","J. Brunson misses 3-pt jump shot from 24 ft","","49-64","",""
"258","8:17.0","","","49-64","","Defensive rebound by Team"
"259","7:57.0","","","49-66","+2","K. Thompson makes 2-pt layup from 4 ft (assist by K. Looney)"
"260","7:39.0","Shooting foul by D. Green (drawn by D. Powell)","","49-66","",""
"261","7:39.0","D. Powell misses free throw 1 of 2","","49-66","",""
"262","7:39.0","Offensive rebound by Team","","49-66","",""
"263","7:39.0","D. Powell makes free throw 2 of 2","+1","50-66","",""
"264","7:24.0","","","50-66","","S. Curry misses 2-pt jump shot from 14 ft"
"265","7:23.0","","","50-66","","Offensive rebound by Team"
"266","7:23.0","M. Kleber enters the game for D. Powell","","50-66","",""
"267","7:20.0","","","50-66","","A. Wiggins misses 2-pt layup from 4 ft"
"268","7:18.0","","","50-66","","Offensive rebound by A. Wiggins"
"269","7:16.0","","","50-68","+2","A. Wiggins makes 2-pt layup at rim"
"270","7:05.0","R. Bullock misses 2-pt jump shot from 11 ft (block by K. Looney)","","50-68","",""
"271","7:02.0","","","50-68","","Defensive rebound by D. Green"
"272","6:56.0","","","50-68","","Offensive foul by S. Curry (drawn by J. Brunson)"
"273","6:56.0","","","50-68","","Turnover by S. Curry (offensive foul)"
"274","6:56.0","Turnover by L. Doncic (bad pass)","","50-68","",""
"275","6:52.0","","","50-68","","A. Wiggins misses 3-pt jump shot from 26 ft"
"276","6:50.0","Defensive rebound by J. Brunson","","50-68","",""
"277","6:41.0","J. Brunson makes 2-pt jump shot from 14 ft","+2","52-68","",""
"278","6:30.0","","","52-71","+3","K. Thompson makes 3-pt jump shot from 25 ft (assist by A. Wiggins)"
"279","6:13.0","J. Brunson makes 2-pt jump shot from 8 ft","+2","54-71","",""
"280","6:12.0","","","54-71","","Golden State full timeout"
"281","6:12.0","","","54-71","","O. Porter enters the game for D. Green"
