"","Time","Chicago","","Score","","Milwaukee"
"256","8:52.0","","","55-66","","Turnover by J. Holiday (bad pass; steal by J. Green)"
"257","8:50.0","Turnover by J. Green (bad pass; steal by W. Matthews)","","55-66","",""
"258","8:43.0","","","55-69","+3","B. Portis makes 3-pt jump shot from 24 ft (assist by J. Holiday)"
"259","8:42.0","Chicago full timeout","","55-69","",""
"260","8:22.0","P. Williams misses 3-pt jump shot from 26 ft","","55-69","",""
"261","8:18.0","Offensive rebound by J. Green","","55-69","",""
"262","8:16.0","J. Green misses 2-pt layup from 3 ft","","55-69","",""
"263","8:13.0","","","55-69","","Defensive rebound by B. Lopez"
"264","8:07.0","","","55-72","+3","B. Portis makes 3-pt jump shot from 23 ft (assist by W. Matthews)"
"265","7:57.0","N. Vucevic makes 2-pt jump shot from 19 ft","+2","57-72","",""
"266","7:43.0","","","57-72","","B. Lopez misses 2-pt jump shot from 6 ft (block by P. Williams)"
"267","7:37.0","Defensive rebound by Team","","57-72","",""
"268","7:37.0","Jump ball: P. Williams vs. B. Lopez (N. Vucevic gains possession)","Jump ball: P. Williams vs. B. Lopez (N. Vucevic gains possession)","Jump ball: P. Williams vs. B. Lopez (N. Vucevic gains possession)","Jump ball: P. Williams vs. B. Lopez (N. Vucevic gains possession)","Jump ball: P. Williams vs. B. Lopez (N. Vucevic gains possession)"
"269","7:29.0","J. Green misses 3-pt jump shot from 23 ft","","57-72","",""
"270","7:26.0","","","57-72","","Defensive rebound by B. Portis"
"271","7:18.0","","","57-74","+2","J. Holiday makes 2-pt jump shot from 6 ft"
"272","7:01.0","N. Vucevic misses 3-pt jump shot from 23 ft","","57-74","",""
"273","6:58.0","","","57-74","","Defensive rebound by B. Portis"
"274","6:48.0","","","57-76","+2","G. Antetokounmpo makes 2-pt layup from 5 ft"
"275","6:28.0","D. DeRozan misses 2-pt jump shot from 10 ft","","57-76","",""
"276","6:26.0","","","57-76","","Defensive rebound by Team"
"277","6:26.0","C. White enters the game for J. Green","","57-76","",""
"278","6:26.0","","","57-76","","G. Allen enters the game for B. Lopez"
"279","6:13.0","","","57-79","+3","W. Matthews makes 3-pt jump shot from 26 ft (assist by J. Holiday)"
"280","5:54.0","A. Dosunmu misses 2-pt jump shot from 8 ft","","57-79","",""
"281","5:52.0","Offensive rebound by N. Vucevic","","57-79","",""
"282","5:51.0","N. Vucevic makes 2-pt layup from 10 ft","+2","59-79","",""
"283","5:41.0","","","59-79","","B. Portis misses 3-pt jump shot from 26 ft"
"284","5:39.0","Defensive rebound by N. Vucevic","","59-79","",""
"285","5:34.0","Shooting foul by B. Portis (drawn by D. DeRozan)","","59-79","",""
"286","5:34.0","D. DeRozan makes free throw 1 of 2","+1","60-79","",""
"287","5:34.0","D. Jones enters the game for P. Williams","","60-79","",""
