"","Time","Milwaukee","","Score","","Boston"
"167","5:49.0","","","38-42","","J. Tatum misses 3-pt jump shot from 26 ft"
"168","5:46.0","Defensive rebound by J. Holiday","","38-42","",""
"169","5:42.0","J. Holiday misses 2-pt hook shot from 5 ft (block by D. White)","","38-42","",""
"170","5:42.0","Offensive rebound by Team","","38-42","",""
"171","5:35.0","W. Matthews misses 3-pt jump shot from 27 ft","","38-42","",""
"172","5:32.0","","","38-42","","Defensive rebound by D. Theis"
"173","5:23.0","","","38-45","+3","D. Theis makes 3-pt jump shot from 25 ft (assist by D. White)"
"174","5:03.0","J. Holiday misses 2-pt jump shot from 19 ft (block by J. Brown)","","38-45","",""
"175","5:03.0","","","38-45","","Defensive rebound by D. White"
"176","5:02.0","","","38-45","","Personal take foul by J. Holiday (drawn by D. White)"
"177","5:02.0","G. Antetokounmpo enters the game for J. Holiday","","38-45","",""
"178","5:02.0","","","38-45","","A. Horford enters the game for D. Theis"
"179","4:42.0","","","38-47","+2","J. Brown makes 2-pt layup from 2 ft"
"180","4:18.0","Turnover by G. Antetokounmpo (3 sec)","","38-47","",""
"181","4:06.0","","","38-47","","Shooting foul by B. Lopez (drawn by J. Brown)"
"182","4:06.0","","","38-48","+1","J. Brown makes free throw 1 of 2"
"183","4:06.0","J. Holiday enters the game for B. Lopez","","38-48","",""
"184","4:06.0","","","38-49","+1","J. Brown makes free throw 2 of 2"
"185","3:51.0","Turnover by J. Holiday (lost ball; steal by M. Smart)","","38-49","",""
"186","3:47.0","","","38-51","+2","J. Tatum makes 2-pt dunk from 2 ft (assist by J. Brown)"
"187","3:46.0","Milwaukee full timeout","","38-51","",""
"188","3:46.0","G. Allen enters the game for G. Hill","","38-51","",""
"189","3:24.0","P. Connaughton makes 2-pt layup from 7 ft (assist by G. Antetokounmpo)","+2","40-51","",""
"190","3:11.0","","","40-51","","Turnover by M. Smart (bad pass)"
"191","2:54.0","P. Connaughton misses 3-pt jump shot from 24 ft","","40-51","",""
"192","2:52.0","","","40-51","","Defensive rebound by J. Tatum"
"193","2:41.0","","","40-51","","J. Tatum misses 3-pt jump shot from 26 ft"
"194","2:38.0","Defensive rebound by G. Antetokounmpo","","40-51","",""
