"","Time","Boston","","Score","","Milwaukee"
"332","2:55.0","","","89-86","+3","B. Portis makes 3-pt jump shot from 27 ft (assist by K. Middleton)"
"333","2:39.0","M. Smart misses 3-pt jump shot from 30 ft","","89-86","",""
"334","2:36.0","","","89-86","","Defensive rebound by J. Holiday"
"335","2:30.0","","","89-86","","Turnover by J. Holiday (bad pass; steal by J. Brown)"
"336","2:27.0","J. Brown misses 2-pt layup from 4 ft (block by P. Connaughton)","","89-86","",""
"337","2:27.0","","","89-86","","Defensive rebound by Team"
"338","2:27.0","","","89-86","","Milwaukee full timeout"
"339","2:27.0","J. Parker enters the game for J. Brown","","89-86","",""
"340","2:27.0","J. Tatum enters the game for R. Williams","","89-86","",""
"341","2:27.0","","","89-86","","G. Hill enters the game for J. Holiday"
"342","2:12.0","","","89-86","","K. Middleton misses 3-pt jump shot from 26 ft"
"343","2:08.0","Defensive rebound by P. Pritchard","","89-86","",""
