"","Time","Milwaukee","","Score","","Boston"
"328","11:49.0","","","81-88","","Turnover by D. Schröder (offensive foul)"
"329","11:36.0","G. Allen misses 2-pt jump shot from 14 ft","","81-88","",""
"330","11:33.0","","","81-88","","Defensive rebound by J. Richardson"
"331","11:16.0","","","81-90","+2","D. Schröder makes 2-pt layup from 6 ft"
"332","10:51.0","P. Connaughton makes 2-pt jump shot from 9 ft (assist by B. Portis)","+2","83-90","",""
"333","10:38.0","","","83-90","","J. Richardson misses 2-pt jump shot from 19 ft"
"334","10:35.0","Defensive rebound by R. Hood","","83-90","",""
"335","10:28.0","R. Hood misses 2-pt jump shot from 18 ft","","83-90","",""
"336","10:25.0","","","83-90","","Defensive rebound by D. Schröder"
"337","10:19.0","","","83-90","","A. Horford misses 3-pt jump shot from 28 ft"
"338","10:17.0","Defensive rebound by Team","","83-90","",""
"339","10:17.0","J. Holiday enters the game for P. Connaughton","","83-90","",""
"340","10:02.0","Turnover by G. Allen (bad pass; steal by A. Horford)","","83-90","",""
"341","9:58.0","","","83-90","","Personal foul by J. Holiday (drawn by D. Schröder)"
"342","9:52.0","","","83-92","+2","D. Schröder makes 2-pt jump shot from 15 ft"
"343","9:34.0","B. Portis makes 2-pt jump shot from 9 ft","+2","85-92","",""
"344","9:16.0","","","85-92","","A. Horford misses 3-pt jump shot from 27 ft"
"345","9:14.0","Defensive rebound by G. Allen","","85-92","",""
"346","8:55.0","G. Hill misses 3-pt jump shot from 26 ft","","85-92","",""
"347","8:51.0","","","85-92","","Defensive rebound by J. Richardson"
"348","8:34.0","","","85-92","","A. Horford misses 3-pt jump shot from 27 ft"
"349","8:30.0","Defensive rebound by G. Hill","","85-92","",""
"350","8:23.0","B. Portis makes 2-pt jump shot from 8 ft","+2","87-92","",""
