"","Time","Miami","","Score","","Boston"
"236","9:22.0","","","52-67","+2","J. Brown makes 2-pt layup from 4 ft"
"237","9:11.0","G. Vincent misses 3-pt jump shot from 25 ft","","52-67","",""
"238","9:09.0","","","52-67","","Defensive rebound by J. Brown"
"239","8:59.0","","","52-67","","R. Williams misses 2-pt layup from 3 ft"
"240","8:57.0","Defensive rebound by D. Robinson","","52-67","",""
"241","8:51.0","Turnover by G. Vincent (bad pass; steal by M. Smart)","","52-67","",""
"242","8:38.0","","","52-67","","Shooting foul by B. Adebayo (drawn by A. Horford)"
"243","8:38.0","Technical foul by B. Adebayo","","52-67","",""
"244","8:38.0","","","52-68","+1","J. Tatum makes technical free throw"
"245","8:38.0","","","52-68","","A. Horford misses free throw 1 of 2"
"246","8:38.0","","","52-68","","Offensive rebound by Team"
"247","8:38.0","D. Dedmon enters the game for B. Adebayo","","52-68","",""
"248","8:38.0","","","52-69","+1","A. Horford makes free throw 2 of 2"
"249","8:18.0","C. Martin misses 2-pt jump shot from 7 ft","","52-69","",""
"250","8:15.0","","","52-69","","Defensive rebound by J. Tatum"
"251","8:10.0","","","52-69","","J. Brown misses 3-pt jump shot from 25 ft"
"252","8:08.0","Defensive rebound by D. Robinson","","52-69","",""
"253","8:00.0","G. Vincent makes 2-pt layup from 5 ft","+2","54-69","",""
"254","7:47.0","","","54-71","+2","R. Williams makes 2-pt layup from 3 ft (assist by M. Smart)"
"255","7:35.0","M. Strus makes 3-pt jump shot from 26 ft (assist by G. Vincent)","+3","57-71","",""
"256","7:12.0","","","57-71","","Turnover by R. Williams (3 sec)"
"257","7:04.0","M. Strus misses 3-pt jump shot from 27 ft","","57-71","",""
"258","7:01.0","","","57-71","","Defensive rebound by A. Horford"
"259","6:51.0","","","57-71","","J. Tatum misses 3-pt jump shot from 24 ft"
"260","6:49.0","Defensive rebound by D. Dedmon","","57-71","",""
"261","6:41.0","G. Vincent misses 3-pt jump shot from 26 ft","","57-71","",""
"262","6:39.0","","","57-71","","Defensive rebound by J. Tatum"
"263","6:34.0","","","57-71","","Turnover by J. Tatum (lost ball; steal by G. Vincent)"
"264","6:28.0","D. Robinson makes 3-pt jump shot from 26 ft (assist by G. Vincent)","+3","60-71","",""
"265","5:59.0","","","60-73","+2","J. Brown makes 2-pt jump shot from 8 ft (assist by A. Horford)"
"266","5:44.0","Turnover by G. Vincent (bad pass; steal by R. Williams)","","60-73","",""
"267","5:40.0","","","60-75","+2","J. Tatum makes 2-pt dunk at rim (assist by R. Williams)"
"268","5:39.0","Miami full timeout","","60-75","",""
"269","5:39.0","T. Herro enters the game for G. Vincent","","60-75","",""
"270","5:39.0","","","60-75","","G. Williams enters the game for A. Horford"
"271","5:16.0","T. Herro misses 2-pt jump shot from 21 ft","","60-75","",""
"272","5:13.0","","","60-75","","Defensive rebound by J. Tatum"
"273","5:09.0","","","60-78","+3","G. Williams makes 3-pt jump shot from 24 ft (assist by J. Brown)"
"274","4:53.0","M. Strus makes 3-pt jump shot from 23 ft (assist by T. Herro)","+3","63-78","",""
"275","4:37.0","","","63-78","","Shooting foul by D. Dedmon (drawn by J. Brown)"
"276","4:37.0","","","63-79","+1","J. Brown makes free throw 1 of 2"
"277","4:37.0","","","63-80","+1","J. Brown makes free throw 2 of 2"
"278","4:27.0","T. Herro misses 2-pt layup from 2 ft","","63-80","",""
"279","4:25.0","Offensive rebound by D. Dedmon","","63-80","",""
"280","4:23.0","D. Dedmon makes 2-pt dunk from 2 ft","+2","65-80","",""
"281","4:07.0","","","65-83","+3","G. Williams makes 3-pt jump shot from 23 ft (assist by J. Brown)"
"282","3:51.0","C. Martin makes 2-pt jump shot from 22 ft","+2","67-83","",""
"283","3:34.0","","","67-86","+3","J. Brown makes 3-pt jump shot from 26 ft"
"284","3:17.0","T. Herro misses 3-pt jump shot from 27 ft","","67-86","",""
"285","3:17.0","","","67-86","","Defensive rebound by J. Tatum"
"286","3:13.0","","","67-86","","J. Brown misses 3-pt jump shot from 25 ft"
"287","3:09.0","","","67-86","","Offensive rebound by G. Williams"
"288","3:05.0","","","67-86","","M. Smart misses 3-pt jump shot from 27 ft"
"289","3:02.0","Defensive rebound by C. Martin","","67-86","",""
"290","2:57.0","C. Martin misses 2-pt jump shot from 5 ft","","67-86","",""
"291","2:54.0","","","67-86","","Defensive rebound by R. Williams"
"292","2:36.0","","","67-86","","J. Tatum misses 2-pt jump shot from 23 ft"
"293","2:33.0","Defensive rebound by D. Dedmon","","67-86","",""
"294","2:20.0","M. Strus misses 3-pt jump shot from 27 ft","","67-86","",""
"295","2:16.0","Offensive rebound by D. Robinson","","67-86","",""
"296","2:04.0","Offensive foul by D. Dedmon (drawn by M. Smart)","","67-86","",""
"297","2:04.0","Turnover by D. Dedmon (offensive foul)","","67-86","",""
"298","2:04.0","","","67-86","","Boston full timeout"
"299","2:04.0","B. Adebayo enters the game for C. Martin","","67-86","",""
"300","2:04.0","K. Guy enters the game for M. Strus","","67-86","",""
"301","2:04.0","","","67-86","","A. Horford enters the game for J. Brown"
"302","2:04.0","","","67-86","","J. Richardson enters the game for M. Smart"
"303","2:04.0","","","67-86","","D. Schröder enters the game for R. Williams"
"304","1:53.0","","","67-88","+2","G. Williams makes 2-pt dunk at rim"
"305","1:32.0","Personal foul by D. Schröder (drawn by K. Guy)","","67-88","",""
"306","1:22.0","D. Robinson misses 3-pt jump shot from 26 ft","","67-88","",""
"307","1:19.0","","","67-88","","Defensive rebound by J. Tatum"
"308","1:13.0","","","67-88","","J. Tatum misses 3-pt jump shot from 25 ft"
"309","1:11.0","Defensive rebound by B. Adebayo","","67-88","",""
"310","1:04.0","K. Guy misses 2-pt jump shot from 22 ft","","67-88","",""
"311","1:02.0","","","67-88","","Defensive rebound by Team"
"312","1:02.0","Loose ball foul by D. Dedmon (drawn by D. Schröder)","","67-88","",""
"313","0:50.0","","","67-88","","Turnover by J. Tatum (bad pass; steal by B. Adebayo)"
"314","0:44.0","T. Herro makes 3-pt jump shot from 26 ft (assist by B. Adebayo)","+3","70-88","",""
"315","0:31.0","","","70-91","+3","A. Horford makes 3-pt jump shot from 24 ft (assist by J. Richardson)"
"316","0:14.0","Turnover by K. Guy (bad pass; steal by G. Williams)","","70-91","",""
"317","0:10.0","","","70-93","+2","J. Richardson makes 2-pt layup from 2 ft"
"318","0:10.0","","","70-93","","Shooting foul by T. Herro (drawn by J. Richardson)"
"319","0:10.0","","","70-94","+1","J. Richardson makes free throw 1 of 1"
"320","0:00.0","T. Herro misses 2-pt jump shot from 14 ft","","70-94","",""
"321","0:00.0","Offensive rebound by Team","","70-94","",""
"322","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"323","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"324","Time","Miami","","Score","","Boston"
"325","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"326","11:49.0","","","70-94","","A. Horford misses 2-pt dunk from 2 ft"
"327","11:47.0","Defensive rebound by G. Vincent","","70-94","",""
"328","11:41.0","Shooting foul by A. Horford (drawn by T. Herro)","","70-94","",""
"329","11:41.0","T. Herro misses free throw 1 of 2","","70-94","",""
"330","11:41.0","Offensive rebound by Team","","70-94","",""
"331","11:41.0","T. Herro makes free throw 2 of 2","+1","71-94","",""
"332","11:29.0","","","71-94","","Turnover by J. Richardson (step out of bounds)"
"333","11:16.0","G. Vincent misses 2-pt jump shot from 16 ft","","71-94","",""
"334","11:13.0","","","71-94","","Defensive rebound by A. Horford"
"335","11:09.0","","","71-96","+2","D. Schröder makes 2-pt layup from 6 ft"
"336","11:09.0","Violation by Team (def goaltending)","","71-96","",""
"337","11:09.0","","","71-96","","Shooting foul by G. Vincent (drawn by D. Schröder)"
"338","11:09.0","","","71-96","","D. Schröder misses free throw 1 of 1"
"339","11:05.0","Defensive rebound by C. Silva","","71-96","",""
"340","10:55.0","T. Herro misses 3-pt jump shot from 26 ft","","71-96","",""
"341","10:52.0","","","71-96","","Defensive rebound by A. Horford"
"342","10:46.0","","","71-96","","Shooting foul by M. Strus (drawn by D. Schröder)"
"343","10:46.0","","","71-97","+1","D. Schröder makes free throw 1 of 2"
"344","10:46.0","","","71-98","+1","D. Schröder makes free throw 2 of 2"
"345","10:28.0","M. Strus misses 3-pt jump shot from 23 ft","","71-98","",""
"346","10:24.0","Offensive rebound by G. Vincent","","71-98","",""
"347","10:23.0","M. Strus makes 3-pt jump shot from 23 ft (assist by G. Vincent)","+3","74-98","",""
"348","10:07.0","","","74-100","+2","J. Brown makes 2-pt layup from 8 ft"
"349","9:55.0","Offensive foul by C. Silva (drawn by D. Schröder)","","74-100","",""
"350","9:55.0","Turnover by C. Silva (offensive foul)","","74-100","",""
"351","9:48.0","","","74-100","","Turnover by G. Williams (bad pass; steal by G. Vincent)"
"352","9:39.0","T. Herro misses 3-pt jump shot from 26 ft","","74-100","",""
"353","9:36.0","Offensive rebound by B. Adebayo","","74-100","",""
"354","9:33.0","B. Adebayo misses 2-pt hook shot from 5 ft","","74-100","",""
"355","9:31.0","Offensive rebound by C. Silva","","74-100","",""
"356","9:28.0","Turnover by C. Silva (bad pass; steal by J. Brown)","","74-100","",""
"357","9:23.0","","","74-100","","D. Schröder misses 3-pt jump shot from 24 ft"
