"","Time","Dallas","","Score","","Phoenix"
"289","4:26.0","","","73-68","","C. Johnson enters the game for D. Ayton"
"290","4:26.0","","","73-68","","J. McGee enters the game for J. Crowder"
"291","4:26.0","","","73-68","","C. Payne enters the game for C. Paul"
"292","4:07.0","","","73-68","","Shooting foul by W. Cauley-Stein (drawn by C. Johnson)"
"293","4:07.0","","","73-68","","C. Johnson misses free throw 1 of 2"
"294","4:07.0","","","73-68","","Offensive rebound by Team"
"295","4:07.0","","","73-68","","C. Johnson misses free throw 2 of 2"
"296","4:03.0","Defensive rebound by R. Bullock","","73-68","",""
"297","3:51.0","Turnover by F. Ntilikina (bad pass; steal by M. Bridges)","","73-68","",""
"298","3:45.0","","","73-71","+3","C. Johnson makes 3-pt jump shot from 24 ft (assist by M. Bridges)"
"299","3:28.0","W. Cauley-Stein makes 2-pt jump shot from 12 ft","+2","75-71","",""
"300","3:15.0","","","75-71","","D. Booker misses 2-pt layup from 6 ft"
"301","3:14.0","","","75-71","","Offensive rebound by Team"
"302","3:14.0","J. Brunson enters the game for D. Finney-Smith","","75-71","",""
"303","3:14.0","T. Burke enters the game for F. Ntilikina","","75-71","",""
"304","3:14.0","","","75-71","","L. Shamet enters the game for M. Bridges"
"305","3:07.0","","","75-71","","C. Johnson misses 2-pt jump shot from 12 ft"
"306","3:03.0","","","75-71","","Offensive rebound by J. McGee"
"307","3:03.0","","","75-73","+2","J. McGee makes 2-pt layup from 2 ft"
"308","2:49.0","T. Burke misses 2-pt jump shot from 21 ft","","75-73","",""
"309","2:47.0","","","75-73","","Defensive rebound by C. Payne"
"310","2:39.0","","","75-75","+2","J. McGee makes 2-pt dunk from 3 ft (assist by C. Payne)"
"311","2:23.0","W. Cauley-Stein makes 3-pt jump shot from 27 ft (assist by J. Brunson)","+3","78-75","",""
"312","2:15.0","","","78-75","","Personal foul by J. Brunson (drawn by D. Booker)"
"313","2:15.0","K. Porzingis enters the game for W. Cauley-Stein","","78-75","",""
"314","2:10.0","","","78-75","","Turnover by C. Johnson (bad pass; steal by T. Burke)"
"315","2:07.0","Shooting foul by C. Payne (drawn by T. Burke)","","78-75","",""
"316","2:07.0","T. Burke makes free throw 1 of 2","+1","79-75","",""
"317","2:07.0","","","79-75","","A. Nader enters the game for D. Booker"
"318","2:07.0","T. Burke misses free throw 2 of 2","","79-75","",""
"319","2:05.0","Offensive rebound by S. Brown","","79-75","",""
"320","2:02.0","J. Brunson misses 3-pt jump shot from 28 ft","","79-75","",""
"321","1:58.0","","","79-75","","Defensive rebound by J. McGee"
"322","1:47.0","","","79-75","","J. McGee misses 2-pt jump shot from 11 ft"
"323","1:44.0","Defensive rebound by K. Porzingis","","79-75","",""
"324","1:24.0","J. Brunson misses 3-pt jump shot from 29 ft","","79-75","",""
"325","1:21.0","","","79-75","","Defensive rebound by A. Nader"
"326","1:13.0","","","79-75","","C. Payne misses 2-pt jump shot from 9 ft"
"327","1:08.0","","","79-75","","Offensive rebound by C. Payne"
"328","1:08.0","","","79-77","+2","C. Payne makes 2-pt layup at rim"
"329","0:58.0","Shooting foul by J. McGee (drawn by K. Porzingis)","","79-77","",""
"330","0:58.0","K. Porzingis makes free throw 1 of 2","+1","80-77","",""
"331","0:58.0","K. Porzingis makes free throw 2 of 2","+1","81-77","",""
"332","0:44.0","","","81-79","+2","C. Payne makes 2-pt jump shot from 3 ft"
"333","0:32.0","J. Brunson makes 2-pt jump shot from 2 ft","+2","83-79","",""
"334","0:16.0","","","83-79","","C. Payne misses 3-pt jump shot from 27 ft"
"335","0:13.0","Defensive rebound by R. Bullock","","83-79","",""
"336","0:02.0","Personal foul by A. Nader (drawn by J. Brunson)","","83-79","",""
"337","0:02.0","J. Brunson misses free throw 1 of 2","","83-79","",""
"338","0:02.0","Offensive rebound by Team","","83-79","",""
"339","0:02.0","D. Finney-Smith enters the game for K. Porzingis","","83-79","",""
"340","0:02.0","J. Brunson makes free throw 2 of 2","+1","84-79","",""
"341","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"342","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"343","Time","Dallas","","Score","","Phoenix"
"344","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"345","11:46.0","","","84-82","+3","C. Johnson makes 3-pt jump shot from 27 ft (assist by C. Paul)"
"346","11:34.0","Personal foul by A. Nader (drawn by J. Brunson)","","84-82","",""
"347","11:34.0","","","84-82","","M. Bridges enters the game for A. Nader"
