"","Time","Chicago","","Score","","Milwaukee"
"284","3:54.0","D. Jones enters the game for N. Vucevic","","77-63","",""
"285","3:42.0","D. DeRozan makes 2-pt jump shot from 19 ft","+2","79-63","",""
"286","3:31.0","","","79-63","","Shooting foul by D. Jones (drawn by G. Antetokounmpo)"
"287","3:31.0","","","79-64","+1","G. Antetokounmpo makes free throw 1 of 2"
"288","3:31.0","","","79-65","+1","G. Antetokounmpo makes free throw 2 of 2"
"289","3:18.0","C. White misses 2-pt jump shot from 8 ft","","79-65","",""
"290","3:15.0","","","79-65","","Defensive rebound by G. Antetokounmpo"
"291","3:07.0","","","79-68","+3","P. Connaughton makes 3-pt jump shot from 23 ft (assist by G. Antetokounmpo)"
"292","2:47.0","D. DeRozan makes 2-pt jump shot from 22 ft (assist by A. Dosunmu)","+2","81-68","",""
"293","2:29.0","","","81-68","","Shooting foul by D. DeRozan (drawn by G. Antetokounmpo)"
"294","2:29.0","","","81-69","+1","G. Antetokounmpo makes free throw 1 of 2"
"295","2:29.0","J. Green enters the game for A. Dosunmu","","81-69","",""
"296","2:29.0","Z. LaVine enters the game for P. Williams","","81-69","",""
"297","2:29.0","","","81-69","","G. Antetokounmpo misses free throw 2 of 2"
"298","2:21.0","","","81-69","","Offensive rebound by G. Antetokounmpo"
"299","2:21.0","","","81-71","+2","G. Antetokounmpo makes 2-pt dunk at rim"
"300","2:05.0","C. White misses 2-pt layup from 3 ft (block by G. Antetokounmpo)","","81-71","",""
"301","2:01.0","","","81-71","","Defensive rebound by G. Antetokounmpo"
"302","1:59.0","","","81-71","","Shooting foul by J. Green (drawn by G. Antetokounmpo)"
"303","1:59.0","","","81-72","+1","G. Antetokounmpo makes free throw 1 of 2"
"304","1:59.0","N. Vucevic enters the game for D. Jones","","81-72","",""
"305","1:59.0","","","81-73","+1","G. Antetokounmpo makes free throw 2 of 2"
"306","1:46.0","D. DeRozan misses 2-pt layup from 6 ft (block by G. Antetokounmpo)","","81-73","",""
"307","1:46.0","Offensive rebound by Team","","81-73","",""
"308","1:40.0","Turnover by C. White (bad pass)","","81-73","",""
"309","1:30.0","","","81-76","+3","K. Middleton makes 3-pt jump shot from 27 ft"
"310","1:30.0","","","81-76","","Shooting foul by N. Vucevic (drawn by K. Middleton)"
"311","1:30.0","","","81-76","","Instant Replay (Request: Ruling Stands)"
"312","1:30.0","A. Caruso enters the game for C. White","","81-76","",""
"313","1:30.0","","","81-77","+1","K. Middleton makes free throw 1 of 1"
"314","1:15.0","Turnover by N. Vucevic (lost ball; steal by G. Antetokounmpo)","","81-77","",""
"315","1:11.0","","","81-77","","Shooting foul by A. Caruso (drawn by G. Antetokounmpo)"
"316","1:11.0","","","81-77","","G. Antetokounmpo misses free throw 1 of 2"
"317","1:11.0","","","81-77","","Offensive rebound by Team"
"318","1:11.0","","","81-78","+1","G. Antetokounmpo makes free throw 2 of 2"
"319","1:01.0","Personal foul by J. Carter (drawn by Z. LaVine)","","81-78","",""
"320","1:01.0","","","81-78","","Violation by Team (delay of game)"
"321","0:53.0","N. Vucevic makes 2-pt dunk from 2 ft (assist by A. Caruso)","+2","83-78","",""
"322","0:42.0","","","83-80","+2","G. Antetokounmpo makes 2-pt layup from 1 ft (assist by K. Middleton)"
"323","0:33.0","D. DeRozan makes 2-pt jump shot from 18 ft","+2","85-80","",""
"324","0:21.0","","","85-80","","K. Middleton misses 2-pt jump shot from 18 ft"
"325","0:19.0","Defensive rebound by D. DeRozan","","85-80","",""
"326","0:02.0","Shooting foul by K. Middleton (drawn by D. DeRozan)","","85-80","",""
"327","0:02.0","D. DeRozan makes free throw 1 of 2","+1","86-80","",""
"328","0:02.0","","","86-80","","J. Holiday enters the game for K. Middleton"
"329","0:02.0","D. DeRozan makes free throw 2 of 2","+1","87-80","",""
"330","0:00.0","","","87-80","","G. Antetokounmpo misses 3-pt jump shot from 32 ft (block by D. DeRozan)"
"331","0:00.0","","","87-80","","Offensive rebound by Team"
"332","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"333","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"334","Time","Chicago","","Score","","Milwaukee"
"335","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"336","11:58.0","","","87-80","","G. Antetokounmpo misses 2-pt layup from 11 ft (block by D. DeRozan)"
"337","11:58.0","Defensive rebound by J. Green","","87-80","",""
"338","11:45.0","N. Vucevic makes 3-pt jump shot from 26 ft (assist by D. DeRozan)","+3","90-80","",""
"339","11:29.0","","","90-80","","G. Allen misses 3-pt jump shot from 26 ft"
"340","11:27.0","Defensive rebound by N. Vucevic","","90-80","",""
"341","11:17.0","D. DeRozan makes 2-pt jump shot from 16 ft","+2","92-80","",""
