"","Time","Utah","","Score","","Dallas"
"249","6:48.0","R. O'Neale makes 3-pt jump shot from 25 ft (assist by J. Clarkson)","+3","67-61","",""
"250","6:30.0","","","67-64","+3","J. Brunson makes 3-pt jump shot from 25 ft"
"251","6:20.0","Shooting foul by D. Powell (drawn by R. Gobert)","","67-64","",""
"252","6:20.0","Instant Replay (Request: Stands)","","67-64","",""
"253","6:20.0","","","67-64","","M. Kleber enters the game for D. Powell"
"254","6:20.0","R. Gobert misses free throw 1 of 2","","67-64","",""
"255","6:20.0","Offensive rebound by Team","","67-64","",""
"256","6:20.0","R. Gobert misses free throw 2 of 2","","67-64","",""
"257","6:17.0","","","67-64","","Defensive rebound by S. Dinwiddie"
"258","5:59.0","","","67-64","","J. Brunson misses 3-pt jump shot from 25 ft"
"259","5:57.0","Defensive rebound by R. Gobert","","67-64","",""
"260","5:51.0","B. Bogdanovic misses 2-pt jump shot from 4 ft","","67-64","",""
"261","5:49.0","Offensive rebound by R. Gobert","","67-64","",""
"262","5:49.0","Personal foul by D. Finney-Smith (drawn by R. Gobert)","","67-64","",""
"263","5:46.0","B. Bogdanovic makes 2-pt layup from 2 ft (assist by R. O'Neale)","+2","69-64","",""
"264","5:29.0","","","69-66","+2","R. Bullock makes 2-pt jump shot from 11 ft (assist by S. Dinwiddie)"
"265","5:12.0","Personal foul by R. Bullock (drawn by B. Bogdanovic)","","69-66","",""
"266","5:02.0","Turnover by D. Mitchell (out of bounds lost ball)","","69-66","",""
"267","4:45.0","","","69-66","","Shooting foul by J. Clarkson (drawn by S. Dinwiddie)"
"268","4:45.0","","","69-67","+1","S. Dinwiddie makes free throw 1 of 2"
"269","4:45.0","J. Hernangómez enters the game for J. Clarkson","","69-67","",""
"270","4:45.0","D. House enters the game for R. O'Neale","","69-67","",""
"271","4:45.0","","","69-68","+1","S. Dinwiddie makes free throw 2 of 2"
"272","4:20.0","J. Hernangómez misses 3-pt jump shot from 25 ft","","69-68","",""
"273","4:18.0","","","69-68","","Defensive rebound by R. Bullock"
"274","4:01.0","","","69-68","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"275","3:58.0","Defensive rebound by R. Gobert","","69-68","",""
"276","3:49.0","D. Mitchell makes 2-pt jump shot from 7 ft","+2","71-68","",""
"277","3:32.0","","","71-68","","S. Dinwiddie misses 3-pt jump shot from 26 ft"
"278","3:30.0","Defensive rebound by J. Hernangómez","","71-68","",""
"279","3:07.0","D. House makes 2-pt jump shot from 8 ft (assist by J. Hernangómez)","+2","73-68","",""
"280","3:06.0","","","73-68","","Dallas full timeout"
"281","3:06.0","M. Conley enters the game for J. Hernangómez","","73-68","",""
"282","3:06.0","","","73-68","","D. Bertans enters the game for S. Dinwiddie"
"283","2:53.0","","","73-71","+3","M. Kleber makes 3-pt jump shot from 25 ft (assist by R. Bullock)"
"284","2:32.0","D. Mitchell misses 3-pt jump shot from 24 ft","","73-71","",""
"285","2:30.0","","","73-71","","Defensive rebound by D. Finney-Smith"
"286","2:13.0","","","73-71","","R. Bullock misses 2-pt layup from 1 ft (block by R. Gobert)"
"287","2:10.0","Defensive rebound by B. Bogdanovic","","73-71","",""
"288","2:07.0","B. Bogdanovic misses 2-pt layup from 4 ft","","73-71","",""
"289","2:05.0","","","73-71","","Defensive rebound by M. Kleber"
"290","2:00.0","","","73-74","+3","M. Kleber makes 3-pt jump shot from 23 ft (assist by D. Bertans)"
"291","1:36.0","B. Bogdanovic makes 3-pt jump shot from 23 ft (assist by M. Conley)","+3","76-74","",""
"292","1:17.0","","","76-74","","R. Bullock misses 3-pt jump shot from 26 ft"
"293","1:15.0","Defensive rebound by B. Bogdanovic","","76-74","",""
"294","1:09.0","Shooting foul by D. Bertans (drawn by B. Bogdanovic)","","76-74","",""
"295","1:09.0","B. Bogdanovic makes free throw 1 of 3","+1","77-74","",""
"296","1:09.0","B. Bogdanovic makes free throw 2 of 3","+1","78-74","",""
"297","1:09.0","B. Bogdanovic makes free throw 3 of 3","+1","79-74","",""
"298","0:49.0","","","79-74","","M. Kleber misses 3-pt jump shot from 25 ft"
"299","0:47.0","Defensive rebound by M. Conley","","79-74","",""
"300","0:40.0","D. House misses 3-pt jump shot from 23 ft","","79-74","",""
"301","0:37.0","","","79-74","","Defensive rebound by M. Kleber"
