Time,player_name,Series Game,Score,quarter,basket_type,short_type,short_range,misses/count,player_team,Time_dumy
9:22.0,G.Antetokounmpo,5,52-58,3.0,free,throw,2,misses,Milwaukee,2022-06-05 09:22:00
8:29.0,G.Antetokounmpo,5,57-60,3.0,2-pt,jump,15,makes,Milwaukee,2022-06-05 08:29:00
8:03.0,G.Antetokounmpo,5,57-60,3.0,3-pt,jump,26,misses,Milwaukee,2022-06-05 08:03:00
6:20.0,G.Antetokounmpo,5,59-62,3.0,2-pt,jump,16,misses,Milwaukee,2022-06-05 06:20:00
5:28.0,G.Antetokounmpo,5,63-66,3.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 05:28:00
1:35.0,G.Antetokounmpo,5,72-81,3.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 01:35:00
1:05.0,G.Antetokounmpo,5,73-83,3.0,free,throw,2,makes,Milwaukee,2022-06-05 01:05:00
1:05.0,G.Antetokounmpo,5,74-83,3.0,free,throw,2,makes,Milwaukee,2022-06-05 01:05:00
0:34.0,G.Antetokounmpo,5,77-86,3.0,3-pt,jump,26,makes,Milwaukee,2022-06-05 00:34:00
11:04.0,G.Antetokounmpo,5,79-88,4.0,2-pt,jump,12,misses,Milwaukee,2022-06-05 11:04:00
8:41.0,G.Antetokounmpo,5,87-96,4.0,2-pt,dunk,1,makes,Milwaukee,2022-06-05 08:41:00
7:04.0,G.Antetokounmpo,5,90-98,4.0,2-pt,jump,9,misses,Milwaukee,2022-06-05 07:04:00
6:26.0,G.Antetokounmpo,5,92-99,4.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 06:26:00
4:42.0,G.Antetokounmpo,5,97-101,4.0,2-pt,layup,1,makes,Milwaukee,2022-06-05 04:42:00
1:40.0,G.Antetokounmpo,5,102-105,4.0,3-pt,jump,26,makes,Milwaukee,2022-06-05 01:40:00
0:14.0,G.Antetokounmpo,5,106-107,4.0,free,throw,2,misses,Milwaukee,2022-06-05 00:14:00
0:14.0,G.Antetokounmpo,5,106-107,4.0,free,throw,2,makes,Milwaukee,2022-06-05 00:14:00
11:05.0,G.Antetokounmpo,6,3-1,1.0,free,throw,2,makes,Milwaukee,2022-06-05 11:05:00
11:05.0,G.Antetokounmpo,6,3-2,1.0,free,throw,2,makes,Milwaukee,2022-06-05 11:05:00
10:25.0,G.Antetokounmpo,6,6-3,1.0,free,throw,2,makes,Milwaukee,2022-06-05 10:25:00
10:25.0,G.Antetokounmpo,6,6-4,1.0,free,throw,2,makes,Milwaukee,2022-06-05 10:25:00
8:53.0,G.Antetokounmpo,6,9-5,1.0,free,throw,2,makes,Milwaukee,2022-06-05 08:53:00
8:53.0,G.Antetokounmpo,6,9-6,1.0,free,throw,2,makes,Milwaukee,2022-06-05 08:53:00
7:51.0,G.Antetokounmpo,6,15-8,1.0,2-pt,jump,18,makes,Milwaukee,2022-06-05 07:51:00
6:24.0,G.Antetokounmpo,6,15-14,1.0,2-pt,layup,3,makes,Milwaukee,2022-06-05 06:24:00
5:57.0,G.Antetokounmpo,6,17-17,1.0,3-pt,jump,27,makes,Milwaukee,2022-06-05 05:57:00
5:12.0,G.Antetokounmpo,6,17-22,1.0,2-pt,hook,10,makes,Milwaukee,2022-06-05 05:12:00
4:39.0,G.Antetokounmpo,6,20-22,1.0,2-pt,jump,16,misses,Milwaukee,2022-06-05 04:39:00
2:10.0,G.Antetokounmpo,6,23-24,1.0,2-pt,jump,10,misses,Milwaukee,2022-06-05 02:10:00
0:59.0,G.Antetokounmpo,6,25-24,1.0,2-pt,jump,9,misses,Milwaukee,2022-06-05 00:59:00
0:58.0,G.Antetokounmpo,6,25-26,1.0,2-pt,dunk,,makes,Milwaukee,2022-06-05 00:58:00
9:50.0,G.Antetokounmpo,6,35-30,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 09:50:00
9:46.0,G.Antetokounmpo,6,35-30,2.0,2-pt,layup,,misses,Milwaukee,2022-06-05 09:46:00
8:41.0,G.Antetokounmpo,6,38-30,2.0,2-pt,jump,16,misses,Milwaukee,2022-06-05 08:41:00
7:02.0,G.Antetokounmpo,6,40-35,2.0,free,throw,1,misses,Milwaukee,2022-06-05 07:02:00
7:02.0,G.Antetokounmpo,6,40-35,2.0,2-pt,layup,2,makes,Milwaukee,2022-06-05 07:02:00
6:07.0,G.Antetokounmpo,6,42-37,2.0,2-pt,dunk,2,makes,Milwaukee,2022-06-05 06:07:00
4:35.0,G.Antetokounmpo,6,42-39,2.0,2-pt,jump,20,misses,Milwaukee,2022-06-05 04:35:00
3:59.0,G.Antetokounmpo,6,42-39,2.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 03:59:00
3:49.0,G.Antetokounmpo,6,42-39,2.0,2-pt,hook,6,misses,Milwaukee,2022-06-05 03:49:00
10:36.0,G.Antetokounmpo,6,54-45,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 10:36:00
10:08.0,G.Antetokounmpo,6,54-45,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 10:08:00
7:41.0,G.Antetokounmpo,6,65-48,3.0,2-pt,layup,ft,misses,Milwaukee,2022-06-05 07:41:00
