"","Time","Denver","","Score","","Golden State"
"283","5:33.0","Shooting foul by J. Poole (drawn by A. Gordon)","","62-74","",""
"284","5:33.0","A. Gordon misses free throw 1 of 1","","62-74","",""
"285","5:31.0","","","62-74","","Defensive rebound by K. Thompson"
"286","5:17.0","","","62-76","+2","D. Green makes 2-pt dunk from 5 ft (assist by O. Porter)"
"287","5:04.0","Shooting foul by O. Porter (drawn by J. Green)","","62-76","",""
"288","5:04.0","J. Green misses free throw 1 of 2","","62-76","",""
"289","5:04.0","Offensive rebound by Team","","62-76","",""
"290","5:04.0","A. Rivers enters the game for W. Barton","","62-76","",""
"291","5:04.0","J. Green makes free throw 2 of 2","+1","63-76","",""
"292","4:44.0","","","63-76","","K. Thompson misses 2-pt jump shot from 11 ft"
"293","4:41.0","","","63-76","","Offensive rebound by D. Green"
"294","4:40.0","","","63-76","","K. Thompson misses 3-pt jump shot from 22 ft"
"295","4:38.0","Defensive rebound by A. Rivers","","63-76","",""
"296","4:28.0","N. Jokic makes 2-pt hook shot from 8 ft (assist by J. Green)","+2","65-76","",""
"297","4:06.0","","","65-76","","D. Green misses 2-pt jump shot from 8 ft"
"298","4:04.0","Defensive rebound by A. Gordon","","65-76","",""
"299","3:54.0","A. Gordon makes 2-pt layup from 6 ft","+2","67-76","",""
"300","3:52.0","","","67-76","","Golden State full timeout"
"301","3:52.0","J. Green enters the game for J. Green","","67-76","",""
"302","3:52.0","","","67-76","","A. Iguodala enters the game for J. Poole"
"303","3:52.0","","","67-76","","G. Payton enters the game for K. Thompson"
"304","3:38.0","","","67-76","","S. Curry misses 2-pt jump shot from 9 ft"
"305","3:36.0","","","67-76","","Offensive rebound by G. Payton"
"306","3:34.0","","","67-78","+2","G. Payton makes 2-pt layup at rim"
"307","3:15.0","M. Morris misses 2-pt jump shot from 16 ft","","67-78","",""
"308","3:13.0","Offensive rebound by J. Green","","67-78","",""
"309","3:13.0","J. Green misses 2-pt layup from 6 ft","","67-78","",""
"310","3:12.0","Offensive rebound by N. Jokic","","67-78","",""
"311","3:11.0","N. Jokic misses 2-pt layup at rim","","67-78","",""
"312","3:11.0","Offensive rebound by N. Jokic","","67-78","",""
"313","3:10.0","N. Jokic misses 2-pt layup at rim","","67-78","",""
"314","3:09.0","","","67-78","","Defensive rebound by D. Green"
"315","2:56.0","","","67-78","","D. Green misses 3-pt jump shot from 25 ft"
"316","2:54.0","","","67-78","","Offensive rebound by S. Curry"
"317","2:47.0","","","67-81","+3","S. Curry makes 3-pt jump shot from 29 ft (assist by D. Green)"
"318","2:36.0","Personal foul by A. Iguodala (drawn by N. Jokic)","","67-81","",""
"319","2:36.0","N. Jokic misses free throw 1 of 2","","67-81","",""
"320","2:36.0","Offensive rebound by Team","","67-81","",""
"321","2:36.0","W. Barton enters the game for A. Gordon","","67-81","",""
"322","2:36.0","B. Hyland enters the game for M. Morris","","67-81","",""
"323","2:36.0","N. Jokic makes free throw 2 of 2","+1","68-81","",""
"324","2:23.0","","","68-81","","Shooting foul by A. Rivers (drawn by S. Curry)"
"325","2:23.0","","","68-82","+1","S. Curry makes free throw 1 of 3"
"326","2:23.0","","","68-83","+1","S. Curry makes free throw 2 of 3"
"327","2:23.0","","","68-84","+1","S. Curry makes free throw 3 of 3"
"328","2:14.0","B. Hyland misses 3-pt jump shot from 27 ft","","68-84","",""
"329","2:12.0","","","68-84","","Defensive rebound by D. Green"
"330","1:47.0","","","68-87","+3","D. Green makes 3-pt jump shot from 28 ft"
"331","1:29.0","Turnover by N. Jokic (bad pass)","","68-87","",""
"332","1:29.0","D. Cousins enters the game for N. Jokic","","68-87","",""
"333","1:29.0","","","68-87","","N. Bjelica enters the game for D. Green"
"334","1:13.0","","","68-89","+2","G. Payton makes 2-pt layup from 4 ft (assist by A. Iguodala)"
"335","1:03.0","Turnover by B. Hyland (lost ball; steal by N. Bjelica)","","68-89","",""
"336","1:01.0","","","68-89","","Personal take foul by J. Green (drawn by G. Payton)"
"337","1:01.0","","","68-89","","G. Payton misses free throw 1 of 2"
"338","1:01.0","","","68-89","","Offensive rebound by Team"
"339","1:01.0","","","68-90","+1","G. Payton makes free throw 2 of 2"
"340","0:42.0","D. Cousins makes 2-pt hook shot from 7 ft (assist by J. Green)","+2","70-90","",""
"341","0:32.0","","","70-90","","O. Porter misses 3-pt jump shot from 23 ft"
"342","0:30.0","Defensive rebound by B. Hyland","","70-90","",""
"343","0:15.0","D. Cousins misses 2-pt jump shot from 12 ft","","70-90","",""
"344","0:12.0","","","70-90","","Defensive rebound by O. Porter"
"345","0:03.0","","","70-90","","S. Curry misses 2-pt jump shot from 11 ft"
"346","0:01.0","Defensive rebound by W. Barton","","70-90","",""
"347","0:00.0","W. Barton misses 3-pt jump shot from 70 ft","","70-90","",""
"348","0:00.0","Offensive rebound by Team","","70-90","",""
"349","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"350","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"351","Time","Denver","","Score","","Golden State"
"352","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"353","11:42.0","B. Hyland makes 3-pt jump shot from 23 ft (assist by D. Cousins)","+3","73-90","",""
"354","11:20.0","","","73-90","","O. Porter misses 2-pt jump shot from 5 ft"
"355","11:18.0","","","73-90","","Offensive rebound by G. Payton"
"356","11:13.0","","","73-92","+2","N. Bjelica makes 2-pt dunk from 3 ft (assist by O. Porter)"
"357","11:13.0","","","73-92","","Shooting foul by B. Hyland (drawn by N. Bjelica)"
