"","Time","Phoenix","","Score","","New Orleans"
"263","4:54.0","","","73-74","+2","H. Jones makes 2-pt layup from 2 ft (assist by J. Alvarado)"
"264","4:41.0","M. Bridges makes 2-pt jump shot from 9 ft","+2","75-74","",""
"265","4:28.0","","","75-74","","Offensive foul by J. Alvarado (drawn by J. Crowder)"
"266","4:28.0","","","75-74","","Turnover by J. Alvarado (offensive foul)"
"267","4:28.0","Phoenix full timeout","","75-74","",""
"268","4:28.0","Instant Replay (Challenge: Ruling Stands)","","75-74","",""
"269","4:28.0","C. Payne enters the game for C. Paul","","75-74","",""
"270","4:10.0","D. Booker makes 2-pt jump shot from 12 ft","+2","77-74","",""
"271","3:57.0","","","77-74","","Personal foul by C. Payne (drawn by J. Valanciunas)"
"272","3:57.0","","","77-74","","L. Nance enters the game for J. Valanciunas"
"273","3:49.0","","","77-74","","Shooting foul by J. Crowder (drawn by H. Jones)"
"274","3:49.0","","","77-75","+1","H. Jones makes free throw 1 of 2"
"275","3:49.0","C. Johnson enters the game for J. Crowder","","77-75","",""
"276","3:49.0","","","77-76","+1","H. Jones makes free throw 2 of 2"
"277","3:37.0","D. Booker misses 3-pt jump shot from 24 ft","","77-76","",""
"278","3:35.0","","","77-76","","Defensive rebound by T. Murphy"
"279","3:27.0","","","77-76","","B. Ingram misses 2-pt jump shot from 15 ft"
"280","3:24.0","Defensive rebound by D. Ayton","","77-76","",""
"281","3:12.0","D. Ayton misses 2-pt jump shot from 14 ft","","77-76","",""
"282","3:08.0","","","77-76","","Defensive rebound by L. Nance"
"283","3:00.0","","","77-76","","L. Nance misses 2-pt layup from 3 ft"
"284","2:58.0","Defensive rebound by D. Ayton","","77-76","",""
"285","2:49.0","Turnover by M. Bridges (bad pass; steal by L. Nance)","","77-76","",""
"286","2:37.0","","","77-79","+3","T. Murphy makes 3-pt jump shot from 30 ft (assist by J. Alvarado)"
"287","2:25.0","Phoenix full timeout","","77-79","",""
"288","2:25.0","B. Biyombo enters the game for D. Ayton","","77-79","",""
"289","2:23.0","Turnover by M. Bridges (bad pass; steal by H. Jones)","","77-79","",""
"290","2:19.0","","","77-81","+2","H. Jones makes 2-pt layup from 2 ft"
"291","2:02.0","D. Booker makes 2-pt jump shot from 8 ft","+2","79-81","",""
"292","1:40.0","","","79-81","","T. Murphy misses 3-pt jump shot from 28 ft"
"293","1:34.0","","","79-81","","Offensive rebound by H. Jones"
"294","1:33.0","","","79-81","","Turnover by H. Jones (bad pass; steal by C. Payne)"
"295","1:31.0","Shooting foul by L. Nance (drawn by C. Johnson)","","79-81","",""
"296","1:31.0","C. Johnson makes free throw 1 of 2","+1","80-81","",""
"297","1:31.0","Turnover by B. Biyombo (lane violation)","","80-81","",""
"298","1:13.0","","","80-81","","Turnover by L. Nance (bad pass)"
"299","1:08.0","D. Booker misses 3-pt jump shot from 26 ft","","80-81","",""
"300","1:04.0","","","80-81","","Defensive rebound by T. Murphy"
"301","0:56.0","","","80-83","+2","J. Alvarado makes 2-pt layup from 2 ft (assist by B. Ingram)"
"302","0:41.0","C. Payne misses 3-pt jump shot from 25 ft","","80-83","",""
"303","0:38.0","Offensive rebound by B. Biyombo","","80-83","",""
"304","0:36.0","Turnover by B. Biyombo (lost ball; steal by B. Ingram)","","80-83","",""
"305","0:33.0","","","80-83","","Shooting foul by B. Biyombo (drawn by L. Nance)"
"306","0:33.0","","","80-84","+1","L. Nance makes free throw 1 of 2"
"307","0:33.0","D. Ayton enters the game for B. Biyombo","","80-84","",""
"308","0:33.0","C. Paul enters the game for C. Payne","","80-84","",""
