"","Time","Golden State","","Score","","Denver"
"228","10:44.0","","","69-63","","Defensive rebound by M. Morris"
"229","10:44.0","","","69-63","","Personal take foul by K. Looney (drawn by N. Jokic)"
"230","10:36.0","","","69-63","","W. Barton misses 2-pt layup from 6 ft (block by J. Poole)"
"231","10:36.0","","","69-63","","Offensive rebound by Team"
"232","10:30.0","","","69-63","","Personal foul by K. Looney (drawn by N. Jokic)"
"233","10:18.0","","","69-63","","M. Morris misses 3-pt jump shot from 25 ft"
"234","10:14.0","","","69-63","","Offensive rebound by A. Gordon"
"235","10:05.0","","","69-63","","Turnover by A. Gordon (bad pass; steal by J. Poole)"
"236","10:00.0","J. Poole makes 2-pt layup from 4 ft","+2","71-63","",""
"237","9:53.0","","","71-66","+3","M. Morris makes 3-pt jump shot from 24 ft (assist by W. Barton)"
"238","9:26.0","D. Green misses 3-pt jump shot from 23 ft","","71-66","",""
"239","9:23.0","","","71-66","","Defensive rebound by N. Jokic"
"240","9:10.0","","","71-69","+3","W. Barton makes 3-pt jump shot from 25 ft (assist by N. Jokic)"
"241","8:52.0","J. Poole misses 3-pt jump shot from 28 ft (block by J. Green)","","71-69","",""
"242","8:49.0","","","71-69","","Defensive rebound by N. Jokic"
"243","8:42.0","","","71-69","","Turnover by J. Green (step out of bounds)"
"244","8:25.0","Turnover by D. Green (bad pass; steal by M. Morris)","","71-69","",""
"245","8:22.0","","","71-69","","Shooting foul by D. Green (drawn by M. Morris)"
"246","8:22.0","","","71-69","","M. Morris misses free throw 1 of 2"
"247","8:22.0","","","71-69","","Offensive rebound by Team"
"248","8:22.0","S. Curry enters the game for K. Looney","","71-69","",""
"249","8:22.0","","","71-70","+1","M. Morris makes free throw 2 of 2"
"250","8:02.0","K. Thompson makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","74-70","",""
"251","7:54.0","","","74-70","","Shooting foul by A. Wiggins (drawn by N. Jokic)"
"252","7:54.0","","","74-71","+1","N. Jokic makes free throw 1 of 2"
"253","7:54.0","","","74-72","+1","N. Jokic makes free throw 2 of 2"
"254","7:45.0","","","74-72","","Violation by Team (kicked ball)"
"255","7:34.0","K. Thompson misses 3-pt jump shot from 26 ft","","74-72","",""
"256","7:30.0","","","74-72","","Defensive rebound by A. Gordon"
"257","7:25.0","","","74-72","","M. Morris misses 2-pt layup from 4 ft"
"258","7:19.0","","","74-72","","Offensive rebound by A. Gordon"
"259","7:19.0","","","74-74","+2","A. Gordon makes 2-pt layup from 2 ft"
"260","7:19.0","Golden State full timeout","","74-74","",""
"261","7:06.0","Shooting foul by J. Green (drawn by J. Poole)","","74-74","",""
"262","7:06.0","J. Poole makes free throw 1 of 2","+1","75-74","",""
"263","7:06.0","J. Poole misses free throw 2 of 2","","75-74","",""
"264","7:04.0","","","75-74","","Defensive rebound by N. Jokic"
"265","6:43.0","","","75-76","+2","N. Jokic makes 2-pt jump shot from 15 ft"
"266","6:33.0","S. Curry misses 3-pt jump shot from 32 ft","","75-76","",""
"267","6:31.0","","","75-76","","Defensive rebound by N. Jokic"
"268","6:24.0","","","75-78","+2","A. Gordon makes 2-pt dunk at rim (assist by N. Jokic)"
"269","6:13.0","Turnover by D. Green (bad pass)","","75-78","",""
"270","6:01.0","","","75-80","+2","A. Gordon makes 2-pt dunk from 1 ft (assist by N. Jokic)"
"271","5:33.0","J. Poole misses 2-pt layup from 3 ft","","75-80","",""
"272","5:32.0","","","75-80","","Defensive rebound by N. Jokic"
"273","5:28.0","","","75-80","","J. Green misses 3-pt jump shot from 23 ft"
"274","5:24.0","Defensive rebound by A. Wiggins","","75-80","",""
"275","5:20.0","Turnover by A. Wiggins (bad pass; steal by N. Jokic)","","75-80","",""
"276","5:15.0","","","75-80","","W. Barton misses 3-pt jump shot from 26 ft"
"277","5:14.0","Defensive rebound by Team","","75-80","",""
"278","5:14.0","G. Payton enters the game for J. Poole","","75-80","",""
"279","5:14.0","O. Porter enters the game for A. Wiggins","","75-80","",""
"280","5:01.0","K. Thompson makes 3-pt jump shot from 25 ft (assist by O. Porter)","+3","78-80","",""
"281","4:34.0","","","78-80","","J. Green misses 2-pt jump shot from 13 ft"
"282","4:32.0","Defensive rebound by S. Curry","","78-80","",""
"283","4:29.0","Shooting foul by N. Jokic (drawn by D. Green)","","78-80","",""
"284","4:29.0","","","78-80","","Technical foul by A. Gordon"
"285","4:29.0","S. Curry makes technical free throw","+1","79-80","",""
"286","4:29.0","","","79-80","","Violation by Team (delay of game)"
"287","4:29.0","D. Green misses free throw 1 of 2","","79-80","",""
"288","4:29.0","Offensive rebound by Team","","79-80","",""
"289","4:29.0","","","79-80","","A. Rivers enters the game for J. Green"
"290","4:29.0","D. Green makes free throw 2 of 2","+1","80-80","",""
"291","4:12.0","","","80-80","","Turnover by N. Jokic (bad pass; steal by O. Porter)"
"292","4:08.0","K. Thompson makes 2-pt layup from 3 ft (assist by S. Curry)","+2","82-80","",""
"293","4:08.0","","","82-80","","Denver full timeout"
"294","4:08.0","","","82-80","","B. Forbes enters the game for W. Barton"
"295","3:53.0","","","82-82","+2","N. Jokic makes 2-pt jump shot from 6 ft (assist by A. Gordon)"
"296","3:31.0","S. Curry makes 2-pt jump shot from 21 ft","+2","84-82","",""
"297","3:08.0","","","84-82","","Turnover by N. Jokic (lost ball; steal by D. Green)"
"298","2:46.0","Shooting foul by A. Rivers (drawn by S. Curry)","","84-82","",""
"299","2:46.0","S. Curry makes free throw 1 of 2","+1","85-82","",""
"300","2:46.0","A. Iguodala enters the game for K. Thompson","","85-82","",""
"301","2:46.0","","","85-82","","B. Hyland enters the game for M. Morris"
"302","2:46.0","S. Curry misses free throw 2 of 2","","85-82","",""
"303","2:44.0","","","85-82","","Defensive rebound by N. Jokic"
"304","2:30.0","","","85-85","+3","B. Hyland makes 3-pt jump shot from 23 ft (assist by A. Gordon)"
"305","2:15.0","S. Curry misses 2-pt layup from 3 ft","","85-85","",""
"306","2:14.0","","","85-85","","Defensive rebound by N. Jokic"
"307","2:07.0","","","85-87","+2","A. Gordon makes 2-pt jump shot from 14 ft (assist by B. Forbes)"
"308","1:52.0","D. Green misses 2-pt layup from 3 ft (block by A. Gordon)","","85-87","",""
"309","1:49.0","","","85-87","","Defensive rebound by B. Hyland"
"310","1:47.0","","","85-87","","B. Hyland misses 2-pt layup from 3 ft"
"311","1:45.0","Defensive rebound by S. Curry","","85-87","",""
"312","1:45.0","N. Bjelica enters the game for D. Green","","85-87","",""
"313","1:45.0","","","85-87","","J. Green enters the game for A. Gordon"
"314","1:25.0","Turnover by S. Curry (bad pass; steal by A. Rivers)","","85-87","",""
"315","1:16.0","","","85-87","","Shooting foul by N. Bjelica (drawn by N. Jokic)"
"316","1:16.0","","","85-87","","N. Jokic misses free throw 1 of 2"
"317","1:16.0","","","85-87","","Offensive rebound by Team"
"318","1:16.0","","","85-87","","N. Jokic misses free throw 2 of 2"
"319","1:14.0","Defensive rebound by O. Porter","","85-87","",""
"320","0:58.0","O. Porter misses 3-pt jump shot from 26 ft","","85-87","",""
"321","0:54.0","","","85-87","","Defensive rebound by B. Hyland"
"322","0:40.0","","","85-89","+2","B. Hyland makes 2-pt layup from 5 ft"
"323","0:34.0","Personal foul by A. Rivers (drawn by S. Curry)","","85-89","",""
"324","0:34.0","","","85-89","","D. Cousins enters the game for N. Jokic"
"325","0:25.0","Offensive foul by O. Porter (drawn by A. Rivers)","","85-89","",""
"326","0:25.0","Turnover by O. Porter (offensive foul)","","85-89","",""
"327","0:25.0","K. Looney enters the game for N. Bjelica","","85-89","",""
"328","0:25.0","A. Wiggins enters the game for S. Curry","","85-89","",""
"329","0:08.0","","","85-89","","Offensive foul by D. Cousins (drawn by G. Payton)"
"330","0:08.0","","","85-89","","Turnover by D. Cousins (offensive foul)"
"331","0:08.0","N. Bjelica enters the game for A. Iguodala","","85-89","",""
"332","0:08.0","S. Curry enters the game for K. Looney","","85-89","",""
"333","0:08.0","J. Poole enters the game for G. Payton","","85-89","",""
"334","0:08.0","K. Thompson enters the game for A. Wiggins","","85-89","",""
"335","0:08.0","","","85-89","","F. Campazzo enters the game for D. Cousins"
"336","0:02.0","Shooting foul by B. Forbes (drawn by J. Poole)","","85-89","",""
"337","0:02.0","J. Poole makes free throw 1 of 2","+1","86-89","",""
"338","0:02.0","A. Iguodala enters the game for N. Bjelica","","86-89","",""
"339","0:02.0","K. Looney enters the game for S. Curry","","86-89","",""
"340","0:02.0","A. Wiggins enters the game for O. Porter","","86-89","",""
"341","0:02.0","","","86-89","","D. Cousins enters the game for F. Campazzo"
"342","0:02.0","J. Poole makes free throw 2 of 2","+1","87-89","",""
"343","0:00.0","","","87-89","","B. Forbes misses 3-pt jump shot from 59 ft"
"344","0:00.0","","","87-89","","Offensive rebound by Team"
"345","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"346","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"347","Time","Golden State","","Score","","Denver"
