"","Time","Golden State","","Score","","Memphis"
"192","4:55.0","Defensive rebound by S. Curry","","46-57","",""
"193","4:49.0","Turnover by D. Green (lost ball; steal by D. Melton)","","46-57","",""
"194","4:46.0","","","46-60","+3","T. Jones makes 3-pt jump shot from 25 ft (assist by D. Melton)"
"195","4:32.0","Turnover by K. Looney (bad pass; steal by D. Brooks)","","46-60","",""
"196","4:28.0","","","46-62","+2","D. Melton makes 2-pt layup from 1 ft (assist by D. Brooks)"
"197","4:14.0","Turnover by D. Green (bad pass)","","46-62","",""
"198","4:02.0","","","46-64","+2","S. Adams makes 2-pt layup from 2 ft (assist by D. Melton)"
"199","4:02.0","","","46-64","","Shooting foul by A. Wiggins (drawn by S. Adams)"
"200","4:02.0","","","46-64","","S. Adams misses free throw 1 of 1"
"201","4:00.0","","","46-64","","Offensive rebound by J. Jackson"
"202","3:59.0","","","46-66","+2","D. Melton makes 2-pt layup from 1 ft (assist by J. Jackson)"
"203","3:40.0","J. Poole misses 2-pt jump shot from 14 ft (block by D. Melton)","","46-66","",""
"204","3:37.0","Offensive rebound by D. Green","","46-66","",""
"205","3:34.0","Turnover by S. Curry (step out of bounds)","","46-66","",""
"206","3:34.0","K. Thompson enters the game for A. Wiggins","","46-66","",""
"207","3:22.0","","","46-66","","D. Melton misses 3-pt jump shot from 23 ft"
"208","3:20.0","Defensive rebound by D. Green","","46-66","",""
"209","3:09.0","S. Curry misses 3-pt jump shot from 27 ft","","46-66","",""
"210","3:05.0","","","46-66","","Defensive rebound by J. Jackson"
"211","2:55.0","","","46-66","","D. Brooks misses 3-pt jump shot from 25 ft"
"212","2:52.0","Defensive rebound by K. Thompson","","46-66","",""
"213","2:45.0","K. Thompson misses 3-pt jump shot from 24 ft","","46-66","",""
"214","2:42.0","","","46-66","","Defensive rebound by D. Melton"
"215","2:39.0","","","46-66","","Memphis full timeout"
"216","2:39.0","O. Porter enters the game for K. Looney","","46-66","",""
"217","2:39.0","","","46-66","","D. Bane enters the game for D. Melton"
"218","2:29.0","","","46-66","","T. Jones misses 2-pt jump shot from 11 ft"
"219","2:25.0","","","46-66","","Offensive rebound by S. Adams"
"220","2:25.0","","","46-68","+2","S. Adams makes 2-pt layup at rim"
"221","2:09.0","O. Porter misses 3-pt jump shot from 26 ft","","46-68","",""
"222","2:06.0","","","46-68","","Defensive rebound by T. Jones"
"223","1:49.0","","","46-70","+2","D. Bane makes 2-pt layup from 1 ft (assist by T. Jones)"
"224","1:49.0","","","46-70","","Shooting foul by J. Poole (drawn by D. Bane)"
"225","1:49.0","A. Wiggins enters the game for J. Poole","","46-70","",""
"226","1:49.0","","","46-70","","Z. Williams enters the game for D. Brooks"
"227","1:49.0","","","46-71","+1","D. Bane makes free throw 1 of 1"
"228","1:35.0","S. Curry makes 3-pt jump shot from 26 ft (assist by D. Green)","+3","49-71","",""
"229","1:29.0","","","49-71","","Shooting foul by D. Green (drawn by D. Bane)"
"230","1:29.0","","","49-72","+1","D. Bane makes free throw 1 of 2"
"231","1:29.0","","","49-73","+1","D. Bane makes free throw 2 of 2"
"232","1:27.0","Personal foul by Z. Williams (drawn by D. Green)","","49-73","",""
"233","1:27.0","","","49-73","","B. Clarke enters the game for S. Adams"
"234","1:21.0","Offensive foul by D. Green (drawn by Z. Williams)","","49-73","",""
"235","1:21.0","Turnover by D. Green (offensive foul)","","49-73","",""
"236","1:02.0","","","49-75","+2","D. Bane makes 2-pt jump shot from 16 ft (assist by Z. Williams)"
"237","0:53.0","","","49-75","","Loose ball foul by J. Jackson (drawn by S. Curry)"
"238","0:53.0","S. Curry misses free throw 1 of 2","","49-75","",""
"239","0:53.0","Offensive rebound by Team","","49-75","",""
"240","0:53.0","","","49-75","","K. Anderson enters the game for J. Jackson"
"241","0:53.0","S. Curry makes free throw 2 of 2","+1","50-75","",""
"242","0:35.0","","","50-77","+2","T. Jones makes 2-pt jump shot from 11 ft"
"243","0:27.0","S. Curry misses 3-pt jump shot from 29 ft","","50-77","",""
