"","Time","Dallas","","Score","","Golden State"
"248","10:52.0","Shooting foul by K. Looney (drawn by D. Finney-Smith)","","75-60","",""
"249","10:52.0","D. Finney-Smith misses free throw 1 of 2","","75-60","",""
"250","10:52.0","Offensive rebound by Team","","75-60","",""
"251","10:52.0","D. Finney-Smith makes free throw 2 of 2","+1","76-60","",""
"252","10:32.0","","","76-60","","K. Looney misses 2-pt dunk from 5 ft"
"253","10:30.0","","","76-60","","Offensive rebound by K. Looney"
"254","10:26.0","","","76-62","+2","K. Looney makes 2-pt layup at rim"
"255","10:21.0","L. Doncic misses 3-pt jump shot from 30 ft","","76-62","",""
"256","10:19.0","","","76-62","","Defensive rebound by D. Green"
"257","10:11.0","","","76-62","","D. Green misses 2-pt jump shot from 11 ft"
"258","10:09.0","Defensive rebound by J. Brunson","","76-62","",""
"259","9:52.0","J. Brunson misses 2-pt layup from 8 ft","","76-62","",""
"260","9:50.0","","","76-62","","Defensive rebound by D. Green"
"261","9:33.0","","","76-62","","A. Wiggins misses 2-pt jump shot from 18 ft (block by L. Doncic)"
"262","9:31.0","Defensive rebound by J. Brunson","","76-62","",""
"263","9:31.0","M. Kleber enters the game for D. Powell","","76-62","",""
"264","9:15.0","D. Finney-Smith misses 3-pt jump shot from 28 ft","","76-62","",""
"265","9:13.0","","","76-62","","Defensive rebound by K. Thompson"
"266","8:57.0","","","76-62","","D. Green misses 2-pt layup from 7 ft (block by M. Kleber)"
"267","8:55.0","","","76-62","","Offensive rebound by K. Looney"
"268","8:53.0","","","76-64","+2","K. Looney makes 2-pt layup at rim"
"269","8:41.0","Personal foul by A. Wiggins (drawn by L. Doncic)","","76-64","",""
"270","8:28.0","M. Kleber misses 3-pt jump shot from 22 ft","","76-64","",""
"271","8:26.0","","","76-64","","Defensive rebound by S. Curry"
"272","8:19.0","","","76-64","","S. Curry misses 3-pt jump shot from 28 ft"
"273","8:16.0","Defensive rebound by L. Doncic","","76-64","",""
"274","8:03.0","J. Brunson misses 3-pt jump shot from 27 ft","","76-64","",""
"275","8:01.0","","","76-64","","Defensive rebound by D. Green"
"276","7:55.0","","","76-64","","S. Curry misses 2-pt jump shot from 13 ft"
"277","7:53.0","Defensive rebound by J. Brunson","","76-64","",""
"278","7:39.0","D. Finney-Smith misses 3-pt jump shot from 28 ft","","76-64","",""
"279","7:37.0","","","76-64","","Defensive rebound by D. Green"
"280","7:29.0","","","76-64","","K. Thompson misses 3-pt jump shot from 28 ft"
