"","Time","Golden State","","Score","","Dallas"
"330","0:49.0","","","70-99","","Defensive rebound by L. Doncic"
"331","0:28.0","","","70-99","","Offensive foul by S. Dinwiddie (drawn by D. Lee)"
"332","0:28.0","","","70-99","","Turnover by S. Dinwiddie (offensive foul)"
"333","0:15.0","J. Kuminga misses 2-pt layup from 5 ft (block by M. Kleber)","","70-99","",""
"334","0:12.0","","","70-99","","Defensive rebound by M. Kleber"
"335","0:07.0","","","70-99","","D. Finney-Smith misses 3-pt jump shot from 25 ft"
"336","0:04.0","Defensive rebound by N. Bjelica","","70-99","",""
"337","0:00.0","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter","End of 3rd quarter"
"338","4th Q","4th Q","4th Q","4th Q","4th Q","4th Q"
"339","Time","Golden State","","Score","","Dallas"
"340","12:00.0","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter","Start of 4th quarter"
"341","11:36.0","Shooting foul by J. Brunson (drawn by J. Kuminga)","","70-99","",""
"342","11:36.0","J. Kuminga misses free throw 1 of 2","","70-99","",""
"343","11:36.0","Offensive rebound by Team","","70-99","",""
"344","11:36.0","J. Kuminga makes free throw 2 of 2","+1","71-99","",""
"345","11:22.0","","","71-99","","D. Bertans misses 3-pt jump shot from 26 ft"
"346","11:19.0","Defensive rebound by M. Moody","","71-99","",""
"347","11:10.0","J. Poole makes 2-pt jump shot from 19 ft","+2","73-99","",""
"348","10:49.0","","","73-99","","J. Brunson misses 2-pt hook shot from 2 ft"
"349","10:46.0","Defensive rebound by D. Lee","","73-99","",""
